period,cost,model,waiting_for_new_condition_rows,completed_round_trips,reentries_without_original_condition_reset,learned_exit_cycles
evaluation,BASE,REARM_NONE,155,14,0,0
evaluation,BASE,REARM_RIDGE,349,24,0,23
evaluation,BASE,REARM_TREE,405,26,0,23
evaluation,STRESS,REARM_NONE,155,14,0,0
evaluation,STRESS,REARM_RIDGE,349,24,0,23
evaluation,STRESS,REARM_TREE,405,26,0,23
earlier_diagnostic,BASE,REARM_NONE,348,9,0,0
earlier_diagnostic,BASE,REARM_RIDGE,385,9,0,2
earlier_diagnostic,BASE,REARM_TREE,390,9,0,1
earlier_diagnostic,STRESS,REARM_NONE,348,9,0,0
earlier_diagnostic,STRESS,REARM_RIDGE,385,9,0,2
earlier_diagnostic,STRESS,REARM_TREE,390,9,0,1
