fit_index,fit_origin,first_state_index,last_state_index,last_hypothetical_exit_index,state_rows,nonnegative_state_rows,negative_state_rows,exact_zero_state_rows,complete_window,supports_60_rows_each_state
632,2014-12-31,389,630,632,242,122,120,6,True,True
633,2015-01-05,390,631,633,242,123,119,7,True,True
653,2015-02-02,410,651,653,242,122,120,6,True,True
668,2015-03-02,425,666,668,242,123,119,6,True,True
690,2015-04-01,447,688,690,242,127,115,5,True,True
711,2015-05-04,468,709,711,242,131,111,4,True,True
731,2015-06-01,488,729,731,242,136,106,4,True,True
752,2015-07-01,509,750,752,242,136,106,4,True,True
775,2015-08-03,532,773,775,242,133,109,3,True,True
796,2015-09-01,553,794,796,242,134,108,4,True,True
816,2015-10-08,573,814,816,242,129,113,3,True,True
833,2015-11-02,590,831,833,242,134,108,3,True,True
854,2015-12-01,611,852,854,242,131,111,3,True,True
877,2016-01-04,634,875,877,242,130,112,2,True,True
897,2016-02-01,654,895,897,242,130,112,2,True,True
913,2016-03-01,670,911,913,242,128,114,2,True,True
936,2016-04-01,693,934,936,242,125,117,2,True,True
956,2016-05-03,713,954,956,242,122,120,2,True,True
977,2016-06-01,734,975,977,242,119,123,3,True,True
997,2016-07-01,754,995,997,242,122,120,4,True,True
1018,2016-08-01,775,1016,1018,242,123,119,3,True,True
1041,2016-09-01,798,1039,1041,242,123,119,3,True,True
1061,2016-10-10,818,1059,1061,242,123,119,4,True,True
1077,2016-11-01,834,1075,1077,242,121,121,5,True,True
1099,2016-12-01,856,1097,1099,242,126,116,5,True,True
1121,2017-01-03,878,1119,1121,242,123,119,6,True,True
1139,2017-02-03,896,1137,1139,242,127,115,6,True,True
1157,2017-03-01,914,1155,1157,242,128,114,7,True,True
1180,2017-04-05,937,1178,1180,242,129,113,7,True,True
1198,2017-05-02,955,1196,1198,242,131,111,7,True,True
1218,2017-06-01,975,1216,1218,242,132,110,6,True,True
1240,2017-07-03,997,1238,1240,242,132,110,5,True,True
1261,2017-08-01,1018,1259,1261,242,132,110,5,True,True
1284,2017-09-01,1041,1282,1284,242,135,107,6,True,True
1305,2017-10-09,1062,1303,1305,242,136,106,5,True,True
1322,2017-11-01,1079,1320,1322,242,141,101,4,True,True
1344,2017-12-01,1101,1342,1344,242,137,105,4,True,True
1365,2018-01-02,1122,1363,1365,242,139,103,3,True,True
1387,2018-02-01,1144,1385,1387,242,143,99,3,True,True
1402,2018-03-01,1159,1400,1402,242,142,100,2,True,True
1424,2018-04-02,1181,1422,1424,242,138,104,2,True,True
1442,2018-05-02,1199,1440,1442,242,137,105,2,True,True
1464,2018-06-01,1221,1462,1464,242,136,106,1,True,True
1484,2018-07-02,1241,1482,1484,242,131,111,2,True,True
1506,2018-08-01,1263,1504,1506,242,127,115,1,True,True
1529,2018-09-03,1286,1527,1529,242,123,119,1,True,True
1548,2018-10-08,1305,1546,1548,242,119,123,1,True,True
1566,2018-11-01,1323,1564,1566,242,117,125,1,True,True
1588,2018-12-03,1345,1586,1588,242,115,127,1,True,True
1608,2019-01-02,1365,1606,1608,242,111,131,1,True,True
1630,2019-02-01,1387,1628,1630,242,110,132,4,True,True
1645,2019-03-01,1402,1643,1645,242,113,129,4,True,True
1666,2019-04-01,1423,1664,1666,242,116,126,5,True,True
1687,2019-05-06,1444,1685,1687,242,116,126,5,True,True
1707,2019-06-03,1464,1705,1707,242,117,125,5,True,True
1726,2019-07-01,1483,1724,1726,242,122,120,4,True,True
1749,2019-08-01,1506,1747,1749,242,124,118,4,True,True
1771,2019-09-02,1528,1769,1771,242,125,117,4,True,True
1791,2019-10-08,1548,1789,1791,242,129,113,4,True,True
1809,2019-11-01,1566,1807,1809,242,131,111,4,True,True
1830,2019-12-02,1587,1828,1830,242,130,112,4,True,True
1852,2020-01-02,1609,1850,1852,242,136,106,4,True,True
1868,2020-02-03,1625,1866,1868,242,132,110,1,True,True
1888,2020-03-02,1645,1886,1888,242,132,110,1,True,True
1910,2020-04-01,1667,1908,1910,242,126,116,0,True,True
1931,2020-05-06,1688,1929,1931,242,130,112,0,True,True
1949,2020-06-01,1706,1947,1949,242,130,112,0,True,True
1969,2020-07-01,1726,1967,1969,242,134,108,0,True,True
1992,2020-08-03,1749,1990,1992,242,136,106,0,True,True
2013,2020-09-01,1770,2011,2013,242,139,103,0,True,True
2035,2020-10-09,1792,2033,2035,242,136,106,0,True,True
2051,2020-11-02,1808,2049,2051,242,134,108,0,True,True
2072,2020-12-01,1829,2070,2072,242,137,105,0,True,True
2095,2021-01-04,1852,2093,2095,242,134,108,1,True,True
2115,2021-02-01,1872,2113,2115,242,136,106,1,True,True
2130,2021-03-01,1887,2128,2130,242,135,107,1,True,True
2153,2021-04-01,1910,2151,2153,242,138,104,1,True,True
2174,2021-05-06,1931,2172,2174,242,136,106,1,True,True
2192,2021-06-01,1949,2190,2192,242,137,105,1,True,True
2213,2021-07-01,1970,2211,2213,242,133,109,1,True,True
2235,2021-08-02,1992,2233,2235,242,131,111,1,True,True
2257,2021-09-01,2014,2255,2257,242,129,113,1,True,True
2277,2021-10-08,2034,2275,2277,242,127,115,1,True,True
2293,2021-11-01,2050,2291,2293,242,127,115,1,True,True
2315,2021-12-01,2072,2313,2315,242,122,120,1,True,True
2338,2022-01-04,2095,2336,2338,242,123,119,0,True,True
2357,2022-02-07,2114,2355,2357,242,121,121,0,True,True
2373,2022-03-01,2130,2371,2373,242,121,121,0,True,True
2396,2022-04-01,2153,2394,2396,242,118,124,0,True,True
2415,2022-05-05,2172,2413,2415,242,115,127,0,True,True
2434,2022-06-01,2191,2432,2434,242,115,127,0,True,True
2455,2022-07-01,2212,2453,2455,242,117,125,0,True,True
2476,2022-08-01,2233,2474,2476,242,116,126,0,True,True
2499,2022-09-01,2256,2497,2499,242,114,128,0,True,True
2520,2022-10-10,2277,2518,2520,242,113,129,1,True,True
2536,2022-11-01,2293,2534,2536,242,108,134,1,True,True
2558,2022-12-01,2315,2556,2558,242,112,130,2,True,True
2580,2023-01-03,2337,2578,2580,242,109,133,2,True,True
2596,2023-02-01,2353,2594,2596,242,115,127,3,True,True
2616,2023-03-01,2373,2614,2616,242,113,129,4,True,True
2639,2023-04-03,2396,2637,2639,242,115,127,5,True,True
2658,2023-05-04,2415,2656,2658,242,115,127,5,True,True
2678,2023-06-01,2435,2676,2678,242,111,131,6,True,True
2698,2023-07-03,2455,2696,2698,242,108,134,7,True,True
2719,2023-08-01,2476,2717,2719,242,108,134,7,True,True
2742,2023-09-01,2499,2740,2742,242,107,135,6,True,True
2762,2023-10-09,2519,2760,2762,242,106,136,6,True,True
