period,cost,buy_trades,sell_trades,holding_closes,mean_exposure,unfilled_requests,zero_target_origins,full_target_origins,no_view_origins
evaluation,BASE,32,32,720,0.4458537759514754,0,876,719,9
evaluation,STRESS,32,32,720,0.44604911343972864,0,876,719,9
earlier_diagnostic,BASE,2,2,18,0.014760054585289053,0,1190,19,10
earlier_diagnostic,STRESS,2,2,18,0.01474766011007954,0,1190,19,10
