period,source_state,target,decision_origins
evaluation,NO_VIEW_FUNDING_MISSING_OR_STALE,,9
evaluation,VIEW,0.0,876
evaluation,VIEW,1.0,719
earlier_diagnostic,NO_VIEW_FUNDING_MISSING_OR_STALE,,10
earlier_diagnostic,VIEW,0.0,1190
earlier_diagnostic,VIEW,1.0,19
