period,cost,correlation,post_selected_saved_path_linear_sharpe,original_half_weight,cash_distribution_weight,uses_entire_period_future_statistics,tradable_strategy,new_account_simulations,global_dynamic_strategy_upper_bound
evaluation,BASE,0.2585170868413762,1.0272844613894436,0.8436732747881498,0.15632672521185018,True,False,0,False
evaluation,STRESS,0.25812222538619506,0.9496541411967496,0.8506737729409831,0.1493262270590168,True,False,0,False
earlier_diagnostic,BASE,-0.0011593047873956874,0.7622809044950545,0.24856126427286135,0.7514387357271388,True,False,0,False
earlier_diagnostic,STRESS,-0.0010117901608763153,0.7146158580643421,0.25454004176093614,0.745459958239064,True,False,0,False
