period,cost,cycles,positive_cycles,negative_cycles,net_profit,gross_price_profit,dividend_recognized,commission,slippage,top_two_cycle_profit,top_three_cycle_profit,additional_buys,entries_with_one_past_year_distribution,entries_with_two_past_year_distributions
evaluation,BASE,32,21,11,110680.36121999992,114064.49999999983,7859.7,2805.83878,8437.999999999909,90976.10748,109062.6454,0,30,2
evaluation,STRESS,32,21,11,96792.63871999994,110035.99999999997,7515.3,5479.46128,15279.200000000024,86724.58503999998,104311.71335999997,0,30,2
earlier_diagnostic,BASE,2,2,0,8582.958379999975,9256.399999999994,0.0,161.74162,511.7000000000175,8582.958379999975,8582.958379999975,0,0,2
earlier_diagnostic,STRESS,2,1,1,7929.654279999998,9222.799999999988,0.0,322.84572000000003,970.2999999999895,7929.654279999998,7929.654279999998,0,0,2
