period,model,target,decision_days
evaluation,ADD_VOLUME_BREAKOUT,0.0,1059
evaluation,ADD_VOLUME_BREAKOUT,0.3333333333333333,485
evaluation,ADD_VOLUME_BREAKOUT,0.6666666666666666,60
evaluation,ADD_VOLUME_BREAKOUT,1.0,0
evaluation,ADD_REGULAR_REBOUND,0.0,1174
evaluation,ADD_REGULAR_REBOUND,0.3333333333333333,381
evaluation,ADD_REGULAR_REBOUND,0.6666666666666666,31
evaluation,ADD_REGULAR_REBOUND,1.0,18
earlier_diagnostic,ADD_VOLUME_BREAKOUT,0.0,671
earlier_diagnostic,ADD_VOLUME_BREAKOUT,0.3333333333333333,423
earlier_diagnostic,ADD_VOLUME_BREAKOUT,0.6666666666666666,125
earlier_diagnostic,ADD_VOLUME_BREAKOUT,1.0,0
earlier_diagnostic,ADD_REGULAR_REBOUND,0.0,819
earlier_diagnostic,ADD_REGULAR_REBOUND,0.3333333333333333,365
earlier_diagnostic,ADD_REGULAR_REBOUND,0.6666666666666666,35
earlier_diagnostic,ADD_REGULAR_REBOUND,1.0,0
