period,cost,all_factor_rows,decision_origins,combined_target_max_error,saved_parent_close_targets_checked,saved_directions_checked,parent_fee_dates_and_next_open_aligned,independent_core_retention_auxiliary_direction_and_unknown_semantics_equal
evaluation,BASE,3456,1604,0.0,4812,1604,True,True
evaluation,STRESS,3456,1604,0.0,4812,1604,True,True
earlier_diagnostic,BASE,1852,1219,0.0,3657,1219,True,True
earlier_diagnostic,STRESS,1852,1219,0.0,3657,1219,True,True
