period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,direction_allowed_origins,direction_disallowed_origins,auxiliary_admitted_positive_origins,auxiliary_rejected_positive_origins,core_kept_while_direction_disallowed_origins,admitted_auxiliary_only_positive_origins,both_contributing_positive_origins,full_weight_origins,mean_target
evaluation,SIGN_CONFIRMED_RUNS_AUXILIARY,BASE,1604,426,1178,0,678,926,125,19,159,114,11,36,0.12015877363973643
evaluation,SIGN_CONFIRMED_RUNS_AUXILIARY,STRESS,1604,426,1178,0,678,926,125,19,159,114,11,36,0.12015877363973643
earlier_diagnostic,SIGN_CONFIRMED_RUNS_AUXILIARY,BASE,1219,445,774,0,648,571,191,5,121,143,48,39,0.21772691918700748
earlier_diagnostic,SIGN_CONFIRMED_RUNS_AUXILIARY,STRESS,1219,451,768,0,648,571,191,5,127,143,48,39,0.22186040583269204
