origin,actual_index_members,pooled_eps_growth_company_count,pooled_eps_growth_median,pooled_profit_revision_company_count,pooled_profit_revision_median,pooled_reported_earnings_yield_company_count,pooled_reported_earnings_yield_median,pooled_source_valid,soochow_eps_growth_company_count,soochow_eps_growth_median,soochow_profit_revision_company_count,soochow_profit_revision_median,soochow_reported_earnings_yield_company_count,soochow_reported_earnings_yield_median,soochow_source_valid,dual_institution_growth_share,pooled_report_age_mean_days,pooled_profit_revision_breadth,common_sources_valid
2015-01-30,300,0,,0,,0,,False,0,,0,,0,,False,,,,False
2015-02-27,300,0,,0,,0,,False,0,,0,,0,,False,,,,False
2015-03-31,300,0,,0,,0,,False,0,,0,,0,,False,,,,False
2015-04-30,300,0,,0,,0,,False,0,,0,,0,,False,,,,False
2015-05-29,300,0,,0,,0,,False,0,,0,,0,,False,,,,False
2015-06-30,300,0,,0,,0,,False,0,,0,,0,,False,,,,False
2015-07-31,300,0,,0,,0,,False,0,,0,,0,,False,,,,False
2015-08-31,300,0,,0,,0,,False,0,,0,,0,,False,,,,False
2015-09-30,300,0,,0,,0,,False,0,,0,,0,,False,,,,False
2015-10-30,300,0,,0,,0,,False,0,,0,,0,,False,,,,False
2015-11-30,300,0,,0,,0,,False,0,,0,,0,,False,,,,False
2015-12-31,300,0,,0,,0,,False,0,,0,,0,,False,,,,False
2016-01-29,300,0,,0,,0,,False,0,,0,,0,,False,,,,False
2016-02-29,300,0,,0,,0,,False,0,,0,,0,,False,,,,False
2016-03-31,300,0,,0,,0,,False,0,,0,,0,,False,,,,False
2016-04-29,300,0,,0,,0,,False,0,,0,,0,,False,,,,False
2016-05-31,300,0,,0,,0,,False,0,,0,,0,,False,,,,False
2016-06-30,300,0,,0,,0,,False,0,,0,,0,,False,,,,False
2016-07-29,300,0,,0,,0,,False,0,,0,,0,,False,,,,False
2016-08-31,300,0,,0,,0,,False,0,,0,,0,,False,,,,False
2016-09-30,300,0,,0,,0,,False,0,,0,,0,,False,,,,False
2016-10-31,300,0,,0,,0,,False,0,,0,,0,,False,,,,False
2016-11-30,300,0,,0,,0,,False,0,,0,,0,,False,,,,False
2016-12-30,300,0,,0,,0,,False,0,,0,,0,,False,,,,False
2017-01-26,300,5,0.14705882352941174,0,,3,0.08333333333333333,False,5,0.14705882352941174,0,,3,0.08333333333333333,False,0.0,12.4,,False
2017-02-28,300,9,0.16993464052287585,0,,6,0.08103674540682415,False,9,0.16993464052287585,0,,6,0.08103674540682415,False,0.0,29.666666666666668,,False
2017-03-31,300,18,0.19622298172147118,0,,13,0.05770340450086556,False,18,0.19622298172147118,0,,13,0.05770340450086556,False,0.0,26.38888888888889,,False
2017-04-28,300,27,0.19954853273137696,4,0.0,18,0.05732550635066057,False,27,0.19954853273137696,4,0.0,18,0.05732550635066057,False,0.0,28.74074074074074,0.25,False
2017-05-31,300,29,0.19954853273137696,6,0.0,21,0.056947608200455586,False,29,0.19954853273137696,6,0.0,21,0.056947608200455586,False,0.0,48.172413793103445,0.0,False
2017-06-30,300,33,0.22014051522248254,9,0.0,23,0.05162622612287041,False,32,0.22118136872235233,9,0.0,23,0.05162622612287041,False,0.0,64.33333333333333,0.0,False
2017-07-31,300,32,0.21454786955153982,11,0.0,22,0.05306106946470496,False,31,0.22014051522248254,11,0.0,22,0.05306106946470496,False,0.0,76.90625,0.09090909090909091,False
2017-08-31,300,58,0.19048482806872064,11,0.0,50,0.05291153415453527,False,57,0.1879194630872482,11,0.0,48,0.05252124020743683,False,0.034482758620689655,40.456896551724135,0.2727272727272727,False
2017-09-29,300,63,0.18025751072961368,11,0.0,55,0.052410901467505246,False,63,0.18025751072961368,10,0.0,53,0.05162622612287041,False,0.06349206349206349,49.62698412698413,0.36363636363636365,False
2017-10-31,300,62,0.18889457443674318,5,0.0,59,0.0502008032128514,False,62,0.18889457443674318,4,0.0020541769153198915,57,0.0501002004008016,False,0.06451612903225806,35.63709677419355,0.2,False
