period,cost,selection_changes,switch_times,target_origins_checked,main_ledger_exactly_same_as137,only_formed_model_records_used
evaluation,BASE,0,[],1604,True,True
evaluation,STRESS,0,[],1604,True,True
earlier_diagnostic,BASE,1,['2017-03-01 15:05:00'],1219,,True
earlier_diagnostic,STRESS,1,['2017-03-01 15:05:00'],1219,,True
