period,cost,decision_origins,selection_changes,selected_origins,positive_target_origins,zero_target_origins,unknown_target_origins,new_model_fits,new_reference_accounts
evaluation,BASE,1604,0,{'JOINT_DOWNSIDE_REFERENCE_PAIR': 1604},295,1309,0,0,0
evaluation,STRESS,1604,0,{'JOINT_DOWNSIDE_REFERENCE_PAIR': 1604},295,1309,0,0,0
earlier_diagnostic,BASE,1219,1,"{'JOINT_DOWNSIDE_REFERENCE_PAIR': 694, 'VINTAGE_REFERENCE_RISK': 525}",302,917,0,0,0
earlier_diagnostic,STRESS,1219,1,"{'JOINT_DOWNSIDE_REFERENCE_PAIR': 694, 'VINTAGE_REFERENCE_RISK': 525}",308,911,0,0,0
