period,cost,cycles,losing_cycles,total_net_profit,largest_three_positive_profit,largest_three_vs_total
evaluation,BASE,22,9,59286.12186000009,36368.44080000001,0.6134393625186256
evaluation,STRESS,22,9,56204.52519999999,35580.70835999995,0.6330577161427557
earlier_diagnostic,BASE,10,3,55606.63717999992,51423.291119999965,0.9247689435622879
earlier_diagnostic,STRESS,10,3,59597.01084000002,56905.83972000002,0.9548438574004159
