cost,year,held_closes,net_profit,cumulative_return,profit_difference_vs_VINTAGE_REFERENCE_RISK,return_excess_vs_VINTAGE_REFERENCE_RISK,profit_difference_vs_JOINT_DOWNSIDE_REFERENCE_PAIR,return_excess_vs_JOINT_DOWNSIDE_REFERENCE_PAIR,profit_difference_vs_BUY_HOLD,return_excess_vs_BUY_HOLD
BASE,2015,144,30819.55468000001,0.1540977734000002,0.0,0.0,493.486259999976,0.002467431300001266,19391.709160000035,0.09695854580000018
BASE,2016,60,3554.641619999984,0.015400088718340088,0.0,0.0,3540.518639999995,0.015338771386364192,23997.241619999975,0.11208839365623657
BASE,2017,60,7414.500000000001,0.03163530848126905,-16708.69621999999,-0.07129068166963592,148.28999999999996,8.974990620513879e-05,-35409.69999999997,-0.19259248400291762
BASE,2018,18,-2235.491240000013,-0.009245639991483534,5584.150479999988,0.021004729823736024,-48.7579199999991,-4.2464878710402054e-05,51557.90875999997,0.22082804193510308
BASE,2019,20,16053.432119999989,0.06701405692309148,4493.86841999999,0.020900815268779294,279.5429200000017,1.0780057372317131e-05,-46392.716599999985,-0.2798780689405562
STRESS,2015,144,30259.894040000006,0.15129947019999812,0.0,0.0,1094.4525200000098,0.005472262599997224,18982.84732000005,0.09491423659999798
STRESS,2016,60,3018.005760000002,0.013106953655923181,0.0,0.0,3667.6363199999982,0.01594172034539909,23460.60575999999,0.10986426978355768
STRESS,2017,60,7249.884000000002,0.031078314774849014,-16371.849199999993,-0.0701817412366812,174.69600000000173,0.00011683350894897693,-35574.31599999996,-0.1933266641796738
STRESS,2018,18,-2564.8308000000143,-0.01066334524635526,5358.137599999986,0.020177369890049812,-32.752480000001015,8.44266599466792e-05,51228.56919999997,0.21955882181285058
STRESS,2019,26,21634.057840000012,0.09091355426237246,6676.6649200000065,0.030838073116257192,447.93307999999524,8.96798083882544e-06,-40656.28391999997,-0.25540316281287745
