period,cost,holding_closes,buy_trades,sell_trades,unknown_target_origins,unfilled_requests,mean_exposure
evaluation,BASE,264,26,30,0,0,0.05272219810160838
evaluation,STRESS,264,26,30,0,0,0.05274122350684998
earlier_diagnostic,BASE,302,20,16,0,0,0.11150793868330712
earlier_diagnostic,STRESS,308,20,16,0,0,0.11636794196310797
