period,cost,block_days,replications,valid_sharpe_draws,net_sharpe_low,net_sharpe_high,cagr_excess_vs_buy_hold_low,cagr_excess_vs_buy_hold_high,calculation_status,sharpe_difference_vs137_low,sharpe_difference_vs137_high,sharpe_difference_vs131_low,sharpe_difference_vs131_high
evaluation,BASE,20,2000,2000,0.4977108387993487,1.8970299456382644,-0.1299443643799357,0.1192681993002681,REUSED_IDENTICAL_MAIN_ACCOUNT_137,0.0,0.0,,
evaluation,STRESS,20,2000,2000,0.4257329087496951,1.852935121591509,-0.1317847901387508,0.1174562984619194,REUSED_IDENTICAL_MAIN_ACCOUNT_137,0.0,0.0,,
evaluation,BASE,60,2000,2000,0.6316640581676725,1.8452430068864536,-0.1254578846866651,0.1160786142608633,REUSED_IDENTICAL_MAIN_ACCOUNT_137,0.0,0.0,,
evaluation,STRESS,60,2000,2000,0.5616458468923519,1.7914012695386357,-0.1267176063624415,0.1144034149536988,REUSED_IDENTICAL_MAIN_ACCOUNT_137,0.0,0.0,,
earlier_diagnostic,BASE,20,2000,2000,0.07666564021589858,1.970743134764024,-0.1969024525637922,0.18518989224845478,NEW_SAVED_EARLIER_DIAGNOSTIC,-0.08219309756762234,0.5305680818603508,-0.3451964155136165,0.18456972368764893
earlier_diagnostic,STRESS,20,2000,2000,0.07712124775486737,1.9796220841101182,-0.1935340481980827,0.1898256831356159,NEW_SAVED_EARLIER_DIAGNOSTIC,-0.07275392080862282,0.5321623311143803,-0.3343472786613798,0.20076898475937754
earlier_diagnostic,BASE,60,2000,2000,0.003572496951342457,1.928433718263004,-0.18475615781975113,0.1831691113845701,NEW_SAVED_EARLIER_DIAGNOSTIC,-0.036747669884098486,0.4363585498082342,-0.40571634354408387,0.26287750482529415
earlier_diagnostic,STRESS,60,2000,2000,0.011088806121310524,1.9355394375939068,-0.18187523331387923,0.19004246146364603,NEW_SAVED_EARLIER_DIAGNOSTIC,-0.027079017019472382,0.4413380703116303,-0.3879171353924795,0.2663147823603491
