comparison,metric,point,lower95,upper95
C1_BASE_MINUS_C0_BASE,net_sharpe,0.0,0.0,0.0
C1_BASE_MINUS_C0_BASE,annualized_return,0.0,0.0,0.0
C1_BASE_MINUS_C0_BASE,utility_gamma5,0.0,0.0,0.0
C1_BASE_MINUS_C0_BASE,annualized_arithmetic_mean,0.0,0.0,0.0
C1_BASE_MINUS_C0_BASE,ending_equity,0.0,0.0,0.0
FULL_BASE_MINUS_C1_BASE,net_sharpe,0.13698881967640134,-0.08598562812288645,0.3404835723597729
FULL_BASE_MINUS_C1_BASE,annualized_return,0.004537847453029119,-0.002161566263322428,0.011690454170775895
FULL_BASE_MINUS_C1_BASE,utility_gamma5,0.0043369343573437065,-0.0022696796610746093,0.01136780850780347
FULL_BASE_MINUS_C1_BASE,annualized_arithmetic_mean,0.004541715555457048,-0.002122402547120713,0.011551835050383416
FULL_BASE_MINUS_C1_BASE,ending_equity,6300.965219999722,-2956.1417008338176,17020.85234991439
FULL_BASE_MINUS_C0_BASE,net_sharpe,0.13698881967640134,-0.08598562812288645,0.3404835723597729
FULL_BASE_MINUS_C0_BASE,annualized_return,0.004537847453029119,-0.002161566263322428,0.011690454170775895
FULL_BASE_MINUS_C0_BASE,utility_gamma5,0.0043369343573437065,-0.0022696796610746093,0.01136780850780347
FULL_BASE_MINUS_C0_BASE,annualized_arithmetic_mean,0.004541715555457048,-0.002122402547120713,0.011551835050383416
FULL_BASE_MINUS_C0_BASE,ending_equity,6300.965219999722,-2956.1417008338176,17020.85234991439
FULL_BASE_MINUS_IDEAL_EXPOSURE_BASE,net_sharpe,0.06666654613323614,-0.14348661691558182,0.27291314409520034
FULL_BASE_MINUS_IDEAL_EXPOSURE_BASE,annualized_return,0.0030338532034807613,-0.0035109173092067176,0.009725486744119313
FULL_BASE_MINUS_IDEAL_EXPOSURE_BASE,utility_gamma5,0.002581169223752282,-0.003968279317893881,0.009016553963067048
FULL_BASE_MINUS_IDEAL_EXPOSURE_BASE,annualized_arithmetic_mean,0.003113277889171222,-0.003407230607489113,0.009662610333969637
FULL_BASE_MINUS_IDEAL_EXPOSURE_BASE,ending_equity,4230.2767834510305,-4672.234537579212,14216.14727519395
FULL_BASE_MINUS_IDEAL_VOLATILITY_BASE,net_sharpe,0.06666654613323642,-0.14348661691557552,0.27291314409520073
FULL_BASE_MINUS_IDEAL_VOLATILITY_BASE,annualized_return,0.0020875853339674347,-0.00439680456992874,0.008470079830522436
FULL_BASE_MINUS_IDEAL_VOLATILITY_BASE,utility_gamma5,0.002068095315135466,-0.004408769879870991,0.008326602097428536
FULL_BASE_MINUS_IDEAL_VOLATILITY_BASE,annualized_arithmetic_mean,0.0020680953151354636,-0.004371192840405543,0.008330794151055379
FULL_BASE_MINUS_IDEAL_VOLATILITY_BASE,ending_equity,2918.515897141857,-6148.3699794004215,12006.74647974153
C1_STRESS_MINUS_C0_STRESS,net_sharpe,0.0,0.0,0.0
C1_STRESS_MINUS_C0_STRESS,annualized_return,0.0,0.0,0.0
C1_STRESS_MINUS_C0_STRESS,utility_gamma5,0.0,0.0,0.0
C1_STRESS_MINUS_C0_STRESS,annualized_arithmetic_mean,0.0,0.0,0.0
C1_STRESS_MINUS_C0_STRESS,ending_equity,0.0,0.0,0.0
FULL_STRESS_MINUS_C1_STRESS,net_sharpe,0.13477153679125625,-0.08924195331187416,0.33748587956589116
FULL_STRESS_MINUS_C1_STRESS,annualized_return,0.004468852920885428,-0.0022491126408694683,0.011652855671115065
FULL_STRESS_MINUS_C1_STRESS,utility_gamma5,0.004268343704056833,-0.002367738415033512,0.01130026540834901
FULL_STRESS_MINUS_C1_STRESS,annualized_arithmetic_mean,0.0044735962038272405,-0.002210072588057389,0.011507602908873996
FULL_STRESS_MINUS_C1_STRESS,ending_equity,6203.436799999501,-3090.974368305445,16895.916428576747
FULL_STRESS_MINUS_C0_STRESS,net_sharpe,0.13477153679125625,-0.08924195331187416,0.33748587956589116
FULL_STRESS_MINUS_C0_STRESS,annualized_return,0.004468852920885428,-0.0022491126408694683,0.011652855671115065
FULL_STRESS_MINUS_C0_STRESS,utility_gamma5,0.004268343704056833,-0.002367738415033512,0.01130026540834901
FULL_STRESS_MINUS_C0_STRESS,annualized_arithmetic_mean,0.0044735962038272405,-0.002210072588057389,0.011507602908873996
FULL_STRESS_MINUS_C0_STRESS,ending_equity,6203.436799999501,-3090.974368305445,16895.916428576747
FULL_STRESS_MINUS_IDEAL_EXPOSURE_STRESS,net_sharpe,0.06444102801876234,-0.14681401025093896,0.2716259329362225
FULL_STRESS_MINUS_IDEAL_EXPOSURE_STRESS,annualized_return,0.0029622320784041083,-0.0036219924033651604,0.009648632050828545
FULL_STRESS_MINUS_IDEAL_EXPOSURE_STRESS,utility_gamma5,0.0025103506596326347,-0.004075295025480757,0.008976801312230994
FULL_STRESS_MINUS_IDEAL_EXPOSURE_STRESS,annualized_arithmetic_mean,0.003042428552259984,-0.003510568596407744,0.009582917932204737
FULL_STRESS_MINUS_IDEAL_EXPOSURE_STRESS,ending_equity,4129.293685518787,-4824.422675190072,14109.164269786626
FULL_STRESS_MINUS_IDEAL_VOLATILITY_STRESS,net_sharpe,0.06444102801876195,-0.14681401025094112,0.27162593293622206
FULL_STRESS_MINUS_IDEAL_VOLATILITY_STRESS,annualized_return,0.002018154181303907,-0.004469898836264603,0.008408961543410028
FULL_STRESS_MINUS_IDEAL_VOLATILITY_STRESS,utility_gamma5,0.0019994121682719614,-0.00450214765047379,0.008261359471839525
FULL_STRESS_MINUS_IDEAL_VOLATILITY_STRESS,annualized_arithmetic_mean,0.001999412168271965,-0.004456245293062523,0.008270680443561109
FULL_STRESS_MINUS_IDEAL_VOLATILITY_STRESS,ending_equity,2820.6688941616158,-6280.048648603917,11898.965498863305
