period,cost,days,cycles,net_sharpe
evaluation,BASE,1604,20,0.38909739737413446
evaluation,STRESS,1604,20,0.34130726642538173
earlier_diagnostic,BASE,1219,9,0.7500872689121731
earlier_diagnostic,STRESS,1219,9,0.7266034439588236
