拟合收盘,成熟周期数,因子,训练均值,训练标准差,标准化系数,统一截距
2017-03-01,10,买入前二十日涨跌,0.01338700351859938,0.04743212080257273,-0.04031051353685854,0.020746295195372362
2017-03-01,10,买入前一百二十日均线偏离,0.06701486623456908,0.15117931752623212,0.03383541277529113,0.020746295195372362
2017-03-01,10,买入前二十日波动,0.2582718565596163,0.1446383157217056,0.002884578975539896,0.020746295195372362
2017-04-05,10,买入前二十日涨跌,0.01338700351859938,0.04743212080257273,-0.04031051353685854,0.020746295195372362
2017-04-05,10,买入前一百二十日均线偏离,0.06701486623456908,0.15117931752623212,0.03383541277529113,0.020746295195372362
2017-04-05,10,买入前二十日波动,0.2582718565596163,0.1446383157217056,0.002884578975539896,0.020746295195372362
2017-05-02,10,买入前二十日涨跌,0.01338700351859938,0.04743212080257273,-0.04031051353685854,0.020746295195372362
2017-05-02,10,买入前一百二十日均线偏离,0.06701486623456908,0.15117931752623212,0.03383541277529113,0.020746295195372362
2017-05-02,10,买入前二十日波动,0.2582718565596163,0.1446383157217056,0.002884578975539896,0.020746295195372362
2017-06-01,11,买入前二十日涨跌,0.013778893029713607,0.0452417288785072,-0.038761208684214225,0.015678196546856513
2017-06-01,11,买入前一百二十日均线偏离,0.062432917211621856,0.14487023307095176,0.032835118713581565,0.015678196546856513
2017-06-01,11,买入前二十日波动,0.24102920878405357,0.14829528374847598,0.011705894403566088,0.015678196546856513
2017-07-03,11,买入前二十日涨跌,0.013778893029713607,0.0452417288785072,-0.038761208684214225,0.015678196546856513
2017-07-03,11,买入前一百二十日均线偏离,0.062432917211621856,0.14487023307095176,0.032835118713581565,0.015678196546856513
2017-07-03,11,买入前二十日波动,0.24102920878405357,0.14829528374847598,0.011705894403566088,0.015678196546856513
2017-08-01,11,买入前二十日涨跌,0.013778893029713607,0.0452417288785072,-0.038761208684214225,0.015678196546856513
2017-08-01,11,买入前一百二十日均线偏离,0.062432917211621856,0.14487023307095176,0.032835118713581565,0.015678196546856513
2017-08-01,11,买入前二十日波动,0.24102920878405357,0.14829528374847598,0.011705894403566088,0.015678196546856513
2017-09-01,12,买入前二十日涨跌,0.011321724510124314,0.04407562415205926,-0.03847096759035229,0.015816763392372042
2017-09-01,12,买入前一百二十日均线偏离,0.05700163035713563,0.13986752079515136,0.032056816026749695,0.015816763392372042
2017-09-01,12,买入前二十日波动,0.22874105272775694,0.14771544769851866,0.011567298816416783,0.015816763392372042
2017-10-09,12,买入前二十日涨跌,0.011321724510124314,0.04407562415205926,-0.03847096759035229,0.015816763392372042
2017-10-09,12,买入前一百二十日均线偏离,0.05700163035713563,0.13986752079515136,0.032056816026749695,0.015816763392372042
2017-10-09,12,买入前二十日波动,0.22874105272775694,0.14771544769851866,0.011567298816416783,0.015816763392372042
2017-11-01,12,买入前二十日涨跌,0.011321724510124314,0.04407562415205926,-0.03847096759035229,0.015816763392372042
2017-11-01,12,买入前一百二十日均线偏离,0.05700163035713563,0.13986752079515136,0.032056816026749695,0.015816763392372042
2017-11-01,12,买入前二十日波动,0.22874105272775694,0.14771544769851866,0.011567298816416783,0.015816763392372042
2017-12-01,13,买入前二十日涨跌,0.009776860650224522,0.042683304257718394,-0.038306937413420825,0.018009625821604036
2017-12-01,13,买入前一百二十日均线偏离,0.05689854438293825,0.13438084176886256,0.031536492308600755,0.018009625821604036
2017-12-01,13,买入前二十日波动,0.21967211630610056,0.14535594419990927,0.010696588667982987,0.018009625821604036
2018-01-02,13,买入前二十日涨跌,0.009776860650224522,0.042683304257718394,-0.038306937413420825,0.018009625821604036
2018-01-02,13,买入前一百二十日均线偏离,0.05689854438293825,0.13438084176886256,0.031536492308600755,0.018009625821604036
2018-01-02,13,买入前二十日波动,0.21967211630610056,0.14535594419990927,0.010696588667982987,0.018009625821604036
2018-02-01,13,买入前二十日涨跌,0.009776860650224522,0.042683304257718394,-0.038306937413420825,0.018009625821604036
2018-02-01,13,买入前一百二十日均线偏离,0.05689854438293825,0.13438084176886256,0.031536492308600755,0.018009625821604036
2018-02-01,13,买入前二十日波动,0.21967211630610056,0.14535594419990927,0.010696588667982987,0.018009625821604036
2018-03-01,14,买入前二十日涨跌,0.012703868946975753,0.04246300972463655,-0.04225937213386173,0.012829110380296957
2018-03-01,14,买入前一百二十日均线偏离,0.05984738584965994,0.1299283729763252,0.03009858646524388,0.012829110380296957
2018-03-01,14,买入前二十日波动,0.2103569816967285,0.14403893621743988,0.015251999434526611,0.012829110380296957
2018-04-02,14,买入前二十日涨跌,0.012703868946975753,0.04246300972463655,-0.04225937213386173,0.012829110380296957
2018-04-02,14,买入前一百二十日均线偏离,0.05984738584965994,0.1299283729763252,0.03009858646524388,0.012829110380296957
2018-04-02,14,买入前二十日波动,0.2103569816967285,0.14403893621743988,0.015251999434526611,0.012829110380296957
2018-05-02,14,买入前二十日涨跌,0.012703868946975753,0.04246300972463655,-0.04225937213386173,0.012829110380296957
2018-05-02,14,买入前一百二十日均线偏离,0.05984738584965994,0.1299283729763252,0.03009858646524388,0.012829110380296957
2018-05-02,14,买入前二十日波动,0.2103569816967285,0.14403893621743988,0.015251999434526611,0.012829110380296957
2018-06-01,14,买入前二十日涨跌,0.012703868946975753,0.04246300972463655,-0.04225937213386173,0.012829110380296957
2018-06-01,14,买入前一百二十日均线偏离,0.05984738584965994,0.1299283729763252,0.03009858646524388,0.012829110380296957
2018-06-01,14,买入前二十日波动,0.2103569816967285,0.14403893621743988,0.015251999434526611,0.012829110380296957
2018-07-02,14,买入前二十日涨跌,0.012703868946975753,0.04246300972463655,-0.04225937213386173,0.012829110380296957
2018-07-02,14,买入前一百二十日均线偏离,0.05984738584965994,0.1299283729763252,0.03009858646524388,0.012829110380296957
2018-07-02,14,买入前二十日波动,0.2103569816967285,0.14403893621743988,0.015251999434526611,0.012829110380296957
2018-08-01,14,买入前二十日涨跌,0.012703868946975753,0.04246300972463655,-0.04225937213386173,0.012829110380296957
2018-08-01,14,买入前一百二十日均线偏离,0.05984738584965994,0.1299283729763252,0.03009858646524388,0.012829110380296957
2018-08-01,14,买入前二十日波动,0.2103569816967285,0.14403893621743988,0.015251999434526611,0.012829110380296957
2018-09-03,14,买入前二十日涨跌,0.012703868946975753,0.04246300972463655,-0.04225937213386173,0.012829110380296957
2018-09-03,14,买入前一百二十日均线偏离,0.05984738584965994,0.1299283729763252,0.03009858646524388,0.012829110380296957
2018-09-03,14,买入前二十日波动,0.2103569816967285,0.14403893621743988,0.015251999434526611,0.012829110380296957
2018-10-08,14,买入前二十日涨跌,0.012703868946975753,0.04246300972463655,-0.04225937213386173,0.012829110380296957
2018-10-08,14,买入前一百二十日均线偏离,0.05984738584965994,0.1299283729763252,0.03009858646524388,0.012829110380296957
2018-10-08,14,买入前二十日波动,0.2103569816967285,0.14403893621743988,0.015251999434526611,0.012829110380296957
2018-11-01,15,买入前二十日涨跌,0.01088629381599474,0.041583051349609434,-0.04101880178176966,0.009225416556969035
2018-11-01,15,买入前一百二十日均线偏离,0.051207116799760206,0.1296191194238794,0.04000390663821588,0.009225416556969035
2018-11-01,15,买入前二十日波动,0.2136538839158111,0.13970054176558855,0.009024346199662836,0.009225416556969035
2018-12-03,15,买入前二十日涨跌,0.01088629381599474,0.041583051349609434,-0.04101880178176966,0.009225416556969035
2018-12-03,15,买入前一百二十日均线偏离,0.051207116799760206,0.1296191194238794,0.04000390663821588,0.009225416556969035
2018-12-03,15,买入前二十日波动,0.2136538839158111,0.13970054176558855,0.009024346199662836,0.009225416556969035
2019-01-02,15,买入前二十日涨跌,0.01088629381599474,0.041583051349609434,-0.04101880178176966,0.009225416556969035
2019-01-02,15,买入前一百二十日均线偏离,0.051207116799760206,0.1296191194238794,0.04000390663821588,0.009225416556969035
2019-01-02,15,买入前二十日波动,0.2136538839158111,0.13970054176558855,0.009024346199662836,0.009225416556969035
2019-02-01,15,买入前二十日涨跌,0.01088629381599474,0.041583051349609434,-0.04101880178176966,0.009225416556969035
2019-02-01,15,买入前一百二十日均线偏离,0.051207116799760206,0.1296191194238794,0.04000390663821588,0.009225416556969035
2019-02-01,15,买入前二十日波动,0.2136538839158111,0.13970054176558855,0.009024346199662836,0.009225416556969035
2019-03-01,15,买入前二十日涨跌,0.01088629381599474,0.041583051349609434,-0.04101880178176966,0.009225416556969035
2019-03-01,15,买入前一百二十日均线偏离,0.051207116799760206,0.1296191194238794,0.04000390663821588,0.009225416556969035
2019-03-01,15,买入前二十日波动,0.2136538839158111,0.13970054176558855,0.009024346199662836,0.009225416556969035
2019-04-01,15,买入前二十日涨跌,0.01088629381599474,0.041583051349609434,-0.04101880178176966,0.009225416556969035
