period,cost,holding_decisions,model_available_rows,no_model_rows,learned_exit_cycles,completed_round_trips,unfilled_requests,waiting_for_new_condition_rows
evaluation,BASE,331,331,0,12,20,0,337
evaluation,STRESS,331,331,0,12,20,0,337
earlier_diagnostic,BASE,278,74,204,2,9,0,410
earlier_diagnostic,STRESS,278,74,204,2,9,0,410
