原生15分钟K线：7920根，2024-07-29至2026-08-12。
原生窗口以前需重建716个交易日，本地检查点已完成672日，本次待补44日。
历史成交重建进度：44/44个待补交易日，累计失败0日，检查点已保存。
本次新增重建交易日：44。
{
  "status": "COMPLETE",
  "symbol": "510300.SH",
  "frequency_minutes": 15,
  "adjustment": "raw",
  "requested_start_date": "2021-08-12",
  "requested_end_date": "latest_available",
  "actual_first_bar_end": "2021-08-12T09:45:00",
  "actual_last_bar_end": "2026-08-12T15:00:00",
  "row_count": 19376,
  "trading_day_count": 1211,
  "full_trading_day_count": 1211,
  "direct_15m_row_count": 7920,
  "reconstructed_15m_row_count": 11456,
  "direct_15m_first_trade_date": "2024-07-29",
  "reconstruction_note": "原生15分钟保留窗口以前由历史成交记录重建；重建成交额为成交价乘成交量估算，OHLCV仍需通过日线及重叠窗口审计后才能用于策略因子。",
  "post_close_included": false,
  "failures": [],
  "validation_errors": [],
  "retrieved_at": "2026-08-12T22:44:44.605534+08:00",
  "file": "data/raw/market/510300_15m_full_raw.parquet",
  "sha256": "4ca80ca1e759dfe36afa99df973ecd27486cb45df704bbd7be7330832ac6b258"
}
