period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,supplemented_idle_origins,calendar_idle_rejected_origins,positive_parent_changed_origins,mean_target
evaluation,CONFIRMED_MONTH_EDGE_IDLE,BASE,1604,626,978,0,190,198,0,0.30723014348024824
evaluation,CONFIRMED_MONTH_EDGE_IDLE,STRESS,1604,626,978,0,190,198,0,0.30728432407231376
earlier_diagnostic,CONFIRMED_MONTH_EDGE_IDLE,BASE,1219,581,638,0,135,114,0,0.3829662012364759
earlier_diagnostic,CONFIRMED_MONTH_EDGE_IDLE,STRESS,1219,582,637,0,130,114,0,0.3824539223311448
