fit_origin,cycles,rows,maximum_coefficient_gradient,maximum_intercept_gradient
2017-03-01,10,438,2.634611279139776e-16,2.8067283740218496e-17
2017-04-05,10,438,2.634611279139776e-16,2.8067283740218496e-17
2017-05-02,10,438,2.634611279139776e-16,2.8067283740218496e-17
2017-06-01,11,497,1.734723475976807e-16,8.189114534054576e-17
2017-07-03,11,497,1.734723475976807e-16,8.189114534054576e-17
2017-08-01,11,497,1.734723475976807e-16,8.189114534054576e-17
2017-09-01,12,556,2.480654570646834e-16,8.95415469201466e-17
2017-10-09,12,556,2.480654570646834e-16,8.95415469201466e-17
2017-11-01,12,556,2.480654570646834e-16,8.95415469201466e-17
2017-12-01,13,615,2.7733891572179203e-16,3.542630598596386e-17
2018-01-02,13,615,2.7733891572179203e-16,3.542630598596386e-17
2018-02-01,13,615,2.7733891572179203e-16,3.542630598596386e-17
2018-03-01,14,671,2.336455681706262e-16,5.391195302684171e-17
2018-04-02,14,671,2.336455681706262e-16,5.391195302684171e-17
2018-05-02,14,671,2.336455681706262e-16,5.391195302684171e-17
2018-06-01,14,671,2.336455681706262e-16,5.391195302684171e-17
2018-07-02,14,671,2.336455681706262e-16,5.391195302684171e-17
2018-08-01,14,671,2.336455681706262e-16,5.391195302684171e-17
2018-09-03,14,671,2.336455681706262e-16,5.391195302684171e-17
2018-10-08,14,671,2.336455681706262e-16,5.391195302684171e-17
2018-11-01,15,678,2.3592239273284576e-16,9.408164351742965e-17
2018-12-03,15,678,2.3592239273284576e-16,9.408164351742965e-17
2019-01-02,15,678,2.3592239273284576e-16,9.408164351742965e-17
2019-02-01,15,678,2.3592239273284576e-16,9.408164351742965e-17
2019-03-01,15,678,2.3592239273284576e-16,9.408164351742965e-17
2019-04-01,15,678,2.3592239273284576e-16,9.408164351742965e-17
2019-05-06,15,678,2.3592239273284576e-16,9.408164351742965e-17
2019-06-03,16,721,3.95516952522712e-16,7.188260403578894e-17
2019-07-01,16,721,3.95516952522712e-16,7.188260403578894e-17
2019-08-01,17,759,2.393918396847994e-16,5.4643789493269423e-17
2019-09-02,17,759,2.393918396847994e-16,5.4643789493269423e-17
2019-10-08,17,759,2.393918396847994e-16,5.4643789493269423e-17
2019-11-01,17,759,2.393918396847994e-16,5.4643789493269423e-17
2019-12-02,17,759,2.393918396847994e-16,5.4643789493269423e-17
2020-01-02,17,759,2.393918396847994e-16,5.4643789493269423e-17
2020-02-03,17,759,2.393918396847994e-16,5.4643789493269423e-17
2020-03-02,17,759,2.393918396847994e-16,5.4643789493269423e-17
2020-04-01,18,787,8.621575675604731e-16,8.613986260397333e-17
2020-05-06,18,787,8.621575675604731e-16,8.613986260397333e-17
2020-06-01,19,829,5.195496810550537e-16,7.556889142223966e-17
2020-07-01,19,829,5.195496810550537e-16,7.556889142223966e-17
2020-08-03,19,829,5.195496810550537e-16,7.556889142223966e-17
2020-09-01,19,829,5.195496810550537e-16,7.556889142223966e-17
2020-10-09,20,888,5.00901403688303e-16,9.389190813724468e-17
2020-11-02,20,888,5.00901403688303e-16,9.389190813724468e-17
2020-12-01,20,888,5.00901403688303e-16,9.389190813724468e-17
2021-01-04,20,888,5.00901403688303e-16,9.389190813724468e-17
2021-02-01,20,888,5.00901403688303e-16,9.389190813724468e-17
2021-03-01,20,862,1.1362438767648086e-16,8.044780119842443e-17
2021-04-01,20,862,1.1362438767648086e-16,8.044780119842443e-17
2021-05-06,20,862,1.1362438767648086e-16,8.044780119842443e-17
2021-06-01,20,862,1.1362438767648086e-16,8.044780119842443e-17
2021-07-01,20,862,1.1362438767648086e-16,8.044780119842443e-17
2021-08-02,20,844,3.226585665316861e-16,7.762887554996212e-17
2021-09-01,20,844,3.226585665316861e-16,7.762887554996212e-17
2021-10-08,20,844,3.226585665316861e-16,7.762887554996212e-17
2021-11-01,20,844,3.226585665316861e-16,7.762887554996212e-17
