period,cost,terminal_nav_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference
evaluation,BASE,29419.70135999989,23152.500000000044,5339.300000000001,-225.20136000000002,-702.6999999998252
evaluation,STRESS,30136.633599999943,23230.50000000003,5186.800000000001,-433.4336000000003,-1285.899999999965
earlier_diagnostic,BASE,-1632.2390199999209,-1637.1000000000058,0.0,-1.6609799999998813,-3.199999999966167
earlier_diagnostic,STRESS,-1637.3822399998899,-1648.199999999997,0.0,-3.6177600000000893,-7.200000000035288
