origin,is_monthly_training_origin,actual_index_members,forward_eps_growth_median,eps_growth_company_count,same_year_profit_revision_90_median,profit_revision_company_count,reported_forward_earnings_yield_median,reported_earnings_yield_company_count,raw_eps_revision_90_unadjusted_median,raw_eps_revision_unadjusted_company_count,all_eps_features_valid,eps_company_coverage_of_index
2015-01-30,True,300,,0,,0,,0,,0,False,0.0
2015-02-27,True,300,,0,,0,,0,,0,False,0.0
2015-03-31,True,300,,0,,0,,0,,0,False,0.0
2015-04-30,True,300,,0,,0,,0,,0,False,0.0
2015-05-29,True,300,,0,,0,,0,,0,False,0.0
2015-06-30,True,300,,0,,0,,0,,0,False,0.0
2015-07-31,True,300,,0,,0,,0,,0,False,0.0
2015-08-31,True,300,,0,,0,,0,,0,False,0.0
2015-09-30,True,300,,0,,0,,0,,0,False,0.0
2015-10-30,True,300,,0,,0,,0,,0,False,0.0
2015-11-30,True,300,,0,,0,,0,,0,False,0.0
2015-12-31,True,300,,0,,0,,0,,0,False,0.0
2016-01-29,True,300,,0,,0,,0,,0,False,0.0
2016-02-29,True,300,,0,,0,,0,,0,False,0.0
2016-03-31,True,300,,0,,0,,0,,0,False,0.0
2016-04-29,True,300,,0,,0,,0,,0,False,0.0
2016-05-31,True,300,,0,,0,,0,,0,False,0.0
2016-06-30,True,300,,0,,0,,0,,0,False,0.0
2016-07-29,True,300,,0,,0,,0,,0,False,0.0
2016-08-31,True,300,,0,,0,,0,,0,False,0.0
2016-09-30,True,300,,0,,0,,0,,0,False,0.0
2016-10-31,True,300,,0,,0,,0,,0,False,0.0
2016-11-30,True,300,,0,,0,,0,,0,False,0.0
2016-12-30,True,300,,0,,0,,0,,0,False,0.0
2017-01-26,True,300,,0,,0,,0,,0,False,0.0
2017-02-28,True,300,,0,,0,,0,,0,False,0.0
2017-03-31,True,300,,0,,0,,0,,0,False,0.0
2017-04-28,True,300,,0,,0,,0,,0,False,0.0
2017-05-31,True,300,,0,,0,,0,,0,False,0.0
2017-06-30,True,300,,0,,0,,0,,0,False,0.0
2017-07-31,True,300,,0,,0,,0,,0,False,0.0
2017-08-31,True,300,,0,,0,,0,,0,False,0.0
2017-09-29,True,300,,0,,0,,0,,0,False,0.0
2017-10-31,True,300,,0,,0,,0,,0,False,0.0
2017-11-30,True,300,,0,,0,,0,,0,False,0.0
2017-12-29,True,300,,0,,0,,0,,0,False,0.0
2018-01-31,True,300,,0,,0,,0,,0,False,0.0
2018-02-28,True,300,,0,,0,,0,,0,False,0.0
2018-03-30,True,300,,0,,0,,0,,0,False,0.0
2018-04-27,True,300,,0,,0,,0,,0,False,0.0
2018-05-31,True,300,,0,,0,,0,,0,False,0.0
2018-06-29,True,300,,0,,0,,0,,0,False,0.0
2018-07-31,True,300,,0,,0,,0,,0,False,0.0
2018-08-31,True,300,,0,,0,,0,,0,False,0.0
2018-09-28,True,300,,0,,0,,0,,0,False,0.0
2018-10-31,True,300,,0,,0,,0,,0,False,0.0
2018-11-30,True,300,,0,,0,,0,,0,False,0.0
2018-12-28,True,300,,0,,0,,0,,0,False,0.0
2019-01-31,True,300,,0,,0,,0,,0,False,0.0
2019-02-28,True,300,,0,,0,,0,,0,False,0.0
2019-03-29,True,300,0.07119741100323632,1,,0,0.12195121951219513,1,,0,False,0.0033333333333333335
2019-04-30,True,300,0.07119741100323632,1,,0,0.12195121951219513,1,,0,False,0.0033333333333333335
2019-05-31,True,300,0.07119741100323632,1,,0,0.12195121951219513,1,,0,False,0.0033333333333333335
2019-06-28,True,300,0.07119741100323632,1,0.0,1,0.12195121951219513,1,0.0,1,False,0.0033333333333333335
2019-07-31,True,300,0.07119741100323632,1,0.0,1,0.12195121951219513,1,0.0,1,False,0.0033333333333333335
2019-08-30,True,300,0.07119741100323632,1,0.0,1,0.12195121951219513,1,0.0,1,False,0.0033333333333333335
2019-09-30,True,300,,0,,0,,0,,0,False,0.0
2019-10-31,True,300,,0,,0,,0,,0,False,0.0
2019-11-29,True,300,,0,,0,,0,,0,False,0.0
2019-12-31,True,300,,0,,0,,0,,0,False,0.0
2020-01-23,True,300,,0,,0,,0,,0,False,0.0
2020-02-28,True,300,,0,,0,,0,,0,False,0.0
2020-03-31,True,300,0.1381653454133634,1,,0,0.14925373134328357,1,,0,False,0.0033333333333333335
2020-04-30,True,300,0.1381653454133634,1,,0,0.14925373134328357,1,,0,False,0.0033333333333333335
2020-05-29,True,300,0.1381653454133634,1,,0,0.14925373134328357,1,,0,False,0.0033333333333333335
2020-06-30,True,300,0.1381653454133634,1,0.0,1,0.14925373134328357,1,0.0,1,False,0.0033333333333333335
2020-07-31,True,300,0.1381653454133634,1,0.0,1,0.14925373134328357,1,0.0,1,False,0.0033333333333333335
2020-08-31,True,300,0.1381653454133634,1,0.0,1,0.14925373134328357,1,0.0,1,False,0.0033333333333333335
2020-09-30,True,300,,0,,0,,0,,0,False,0.0
2020-10-30,True,300,,0,,0,,0,,0,False,0.0
2020-11-30,True,300,,0,,0,,0,,0,False,0.0
2020-12-31,True,300,,0,,0,,0,,0,False,0.0
2021-01-29,True,300,,0,,0,,0,,0,False,0.0
2021-02-26,True,300,,0,,0,,0,,0,False,0.0
2021-03-31,True,300,,0,,0,,0,,0,False,0.0
2021-04-30,True,300,,0,,0,,0,,0,False,0.0
2021-05-31,True,300,,0,,0,,0,,0,False,0.0
2021-06-30,True,300,,0,,0,,0,,0,False,0.0
2021-07-30,True,300,,0,,0,,0,,0,False,0.0
2021-08-31,True,300,,0,,0,,0,,0,False,0.0
2021-09-30,True,300,,0,,0,,0,,0,False,0.0
2021-10-29,True,300,,0,,0,,0,,0,False,0.0
2021-11-30,True,300,,0,,0,,0,,0,False,0.0
2021-12-31,True,300,,0,,0,,0,,0,False,0.0
2022-01-28,True,300,,0,,0,,0,,0,False,0.0
2022-02-28,True,300,,0,,0,,0,,0,False,0.0
2022-03-31,True,300,0.12522710551209468,6,,0,0.16666666666666666,5,,0,False,0.02
2022-04-29,True,300,0.12522710551209468,8,,0,0.1694915254237288,7,,0,False,0.02666666666666667
2022-05-31,True,300,0.1322090626649261,8,,0,0.1694915254237288,7,,0,False,0.02666666666666667
2022-06-30,True,300,0.1322090626649261,8,0.0,7,0.1694915254237288,7,0.0,7,True,0.02666666666666667
2022-07-29,True,300,0.1322090626649261,8,0.0,8,0.1694915254237288,7,0.0,8,True,0.02666666666666667
2022-08-31,True,300,0.11817604739737612,8,0.0,8,0.2,7,0.0,8,True,0.02666666666666667
2022-09-30,True,300,0.11817604739737612,8,0.0,8,0.2,7,0.0,8,True,0.02666666666666667
2022-10-31,True,300,0.11817604739737612,8,0.0,8,0.23255813953488372,7,0.0,8,True,0.02666666666666667
2022-11-30,True,300,0.12279463655610434,5,0.0,5,0.17245627001724564,4,0.0,5,False,0.016666666666666666
2022-12-30,True,300,0.12279463655610434,5,0.0,5,0.17245627001724564,4,0.0,5,False,0.016666666666666666
2023-01-31,True,300,0.1256137414631438,6,0.0,6,0.16666666666666666,5,0.0,6,True,0.02
2023-02-28,True,300,0.1504411334428665,2,0.0,1,0.18537414965986393,2,0.0,1,False,0.006666666666666667
2023-03-31,True,300,0.13284132841328425,3,-0.060623033457983956,1,0.2127659574468085,3,-0.06365159128978222,1,False,0.01
2023-04-28,True,300,0.09232026143790845,6,-0.025567513616895802,4,0.24404761904761904,6,-0.03155818540433928,4,True,0.02
2023-05-31,True,300,0.1120071684587814,6,-0.005248063046992976,2,0.21979873850450188,6,-0.011089041735701754,2,False,0.02
2023-06-30,True,300,0.1120071684587814,6,0.0,5,0.21979873850450188,6,-0.013937282229965169,5,True,0.02
2023-07-31,True,300,0.11790412686970632,6,0.0,5,0.21979873850450188,6,0.0,5,True,0.02
2023-08-31,True,300,0.1000598981731057,8,0.0,6,0.22727272727272727,7,0.0,6,True,0.02666666666666667
2023-09-28,True,300,0.120754716981132,7,-0.011940608451874156,5,0.21053558844256517,6,-0.01413427561837457,5,True,0.023333333333333334
2023-10-31,True,300,0.120754716981132,7,-0.011940608451874156,5,0.21016146016146015,6,-0.01413427561837457,5,True,0.023333333333333334
2023-11-30,True,300,0.06451612903225812,5,0.0,5,0.19305019305019305,5,0.0,5,True,0.016666666666666666
2023-12-29,True,300,0.06141758424168651,4,0.0,4,0.21016146016146015,4,0.0,4,False,0.013333333333333334
2024-01-31,True,300,0.0758017492711371,5,0.0,4,0.23610647065374765,4,0.0,4,False,0.016666666666666666
2024-02-29,True,300,0.0758017492711371,3,0.011797752808988765,2,0.152616789603091,2,0.012441679626749623,2,False,0.01
2024-03-29,True,300,0.07858945053541208,4,-0.11188169384237541,2,0.2173913043478261,3,0.0,3,False,0.013333333333333334
2024-04-30,True,300,0.0759826935469024,8,-0.006833704668667937,2,0.18362533692722371,6,-0.036363636363636265,5,False,0.02666666666666667
2024-05-31,True,300,0.0759826935469024,8,-0.006833704668667937,2,0.18751754139769858,6,-0.011299435028248598,3,False,0.02666666666666667
2024-06-28,True,300,0.0759826935469024,8,0.0,6,0.18751754139769858,6,0.0,8,True,0.02666666666666667
2024-07-31,True,300,0.0759826935469024,8,0.0,8,0.18751754139769858,6,0.0,8,True,0.02666666666666667
2024-08-30,True,300,0.07233115468409584,8,0.0,7,0.1686543623232519,6,0.0,8,True,0.02666666666666667
2024-09-30,True,300,0.059684361549497834,8,-0.03996784999326048,7,0.1597082494969819,6,-0.06123049749779222,8,True,0.02666666666666667
2024-10-31,True,300,0.05578037843158689,8,-0.03598949401983981,7,0.1478219160162212,6,-0.05551387846961745,8,True,0.02666666666666667
2024-11-29,True,300,0.05578037843158689,8,3.256639473727061e-06,8,0.1478219160162212,6,0.0,8,True,0.02666666666666667
