model,period,cost,decisions,fills,positive_adjustment_origins,within_band_origins
TARGET_BAND_EDGE,evaluation,BASE,1604,138,91,315
TARGET_BAND_EDGE,evaluation,STRESS,1604,136,94,312
TARGET_BAND_EDGE,earlier_diagnostic,BASE,1219,104,81,349
TARGET_BAND_EDGE,earlier_diagnostic,STRESS,1219,106,82,354
TARGET_HALF_GAP,evaluation,BASE,1604,147,87,319
TARGET_HALF_GAP,evaluation,STRESS,1604,148,88,318
TARGET_HALF_GAP,earlier_diagnostic,BASE,1219,80,48,382
TARGET_HALF_GAP,earlier_diagnostic,STRESS,1219,82,50,386
