period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,mean_target
evaluation,TARGET_BAND_EDGE,BASE,1604,436,1168,0,0.18877627814358988
evaluation,TARGET_HALF_GAP,BASE,1604,436,1168,0,0.18877627814358988
evaluation,TARGET_BAND_EDGE,STRESS,1604,436,1168,0,0.1888304587356554
evaluation,TARGET_HALF_GAP,STRESS,1604,436,1168,0,0.1888304587356554
earlier_diagnostic,TARGET_BAND_EDGE,BASE,1219,446,773,0,0.2722196877007909
earlier_diagnostic,TARGET_HALF_GAP,BASE,1219,446,773,0,0.2722196877007909
earlier_diagnostic,TARGET_BAND_EDGE,STRESS,1219,452,767,0,0.27580913151900366
earlier_diagnostic,TARGET_HALF_GAP,STRESS,1219,452,767,0,0.27580913151900366
