period,cost,decision_origins,selection_changes,holding_calendar_same_as139,changed_share_rows_vs139,changed_exposure_rows_vs139
evaluation,BASE,1604,75,False,264,285
evaluation,STRESS,1604,75,False,267,285
earlier_diagnostic,BASE,1219,38,False,94,94
earlier_diagnostic,STRESS,1219,38,False,100,100
