period,cost,year,gross_profit_difference_vs139,fees_difference_vs139,net_profit_difference_vs139
evaluation,BASE,2020,3057.7999999999847,118.25453999998979,2939.545459999995
evaluation,BASE,2021,6740.600000000039,1499.3250000000435,5241.274999999995
evaluation,BASE,2022,-2251.0999999999945,269.25021999999154,-2520.350219999986
evaluation,BASE,2023,0.0,0.0,0.0
evaluation,BASE,2024,-3760.899999999997,886.0873800000008,-4646.987379999998
evaluation,BASE,2025,7075.399999999972,708.2901599999747,6367.109839999997
evaluation,BASE,2026,-1984.4999999999836,650.0777400000356,-2634.5777400000193
evaluation,STRESS,2020,3070.999999999989,221.88519999999596,2849.114799999993
evaluation,STRESS,2021,6663.600000000037,2998.301680000023,3665.2983200000135
evaluation,STRESS,2022,-2222.399999999995,462.0181600000085,-2684.418160000004
evaluation,STRESS,2023,0.0,0.0,0.0
evaluation,STRESS,2024,-3740.099999999995,1733.2368000000013,-5473.336799999996
evaluation,STRESS,2025,6750.899999999972,1370.8410799999963,5380.058919999976
evaluation,STRESS,2026,-2047.2999999999847,1076.813240000017,-3124.1132400000015
earlier_diagnostic,BASE,2015,0.0,0.0,0.0
earlier_diagnostic,BASE,2016,0.0,0.0,0.0
earlier_diagnostic,BASE,2017,16209.499999999993,237.19950000000014,15972.300499999992
earlier_diagnostic,BASE,2018,1844.699999999979,602.7332599999686,1241.9667400000103
earlier_diagnostic,BASE,2019,-4474.600000000002,-261.38556000001336,-4213.214439999989
earlier_diagnostic,STRESS,2015,0.0,0.0,0.0
earlier_diagnostic,STRESS,2016,0.0,0.0,0.0
earlier_diagnostic,STRESS,2017,16125.299999999994,472.21891999999593,15653.081079999998
earlier_diagnostic,STRESS,2018,1843.299999999981,1072.3589200000065,770.9410799999746
earlier_diagnostic,STRESS,2019,-6892.100000000008,-521.5110000000003,-6370.589000000007
