period,cost,decision_origins,selection_changes,selected_origins,positive_target_origins,zero_target_origins,unknown_target_origins,new_model_fits,new_reference_accounts
evaluation,BASE,1604,75,"{'VINTAGE_REFERENCE_RISK': 862, 'MODEL_SUPPORT_REFERENCE_ROUTER': 742}",286,1318,0,0,0
evaluation,STRESS,1604,75,"{'VINTAGE_REFERENCE_RISK': 862, 'MODEL_SUPPORT_REFERENCE_ROUTER': 742}",286,1318,0,0,0
earlier_diagnostic,BASE,1219,38,"{'VINTAGE_REFERENCE_RISK': 731, 'MODEL_SUPPORT_REFERENCE_ROUTER': 488}",281,938,0,0,0
earlier_diagnostic,STRESS,1219,38,"{'VINTAGE_REFERENCE_RISK': 731, 'MODEL_SUPPORT_REFERENCE_ROUTER': 488}",287,932,0,0,0
