origin,company_universe,paired_company_count,missing_pair_count,median_absolute_growth_disagreement,old_common_sources_valid,eligible_for_next_protocol
2025-02-28,300,43,257,0.018752190676480818,True,True
2025-03-31,300,49,251,0.0266230385959694,True,True
2025-04-30,300,58,242,0.0377130755657982,True,True
2025-05-30,300,75,225,0.03660593792172742,True,True
2025-06-30,300,73,227,0.03267140748691791,True,True
2025-07-31,300,73,227,0.03334966517514294,True,True
2025-08-29,300,81,219,0.03267140748691791,True,True
2025-09-30,300,69,231,0.0323297635886039,True,True
2025-10-31,300,61,239,0.037200205269222325,True,True
2025-11-28,300,58,242,0.041961319282320934,True,True
2025-12-31,300,55,245,0.04370378545414397,True,True
2026-01-30,300,52,248,0.03730218076738618,True,True
2026-02-27,300,43,257,0.039780088716067676,True,True
2026-03-31,300,27,273,0.029813664596273368,True,False
2026-04-30,300,41,259,0.03482392992659303,True,True
2026-05-29,300,47,253,0.03596087887728971,True,True
2026-06-30,300,46,254,0.04026656237792065,True,True
2026-07-31,300,42,258,0.04447814221246271,True,True
