ts_code,trade_time,vol,amount,low,high,bar_vwap,nominal_excess_cny,tick_plus_one_yuan_still_outside
510300.SH,2017-01-04 14:46:00,177500,607242,3.419,3.42,3.421081690140845,192.0,True
510300.SH,2017-01-10 14:43:00,100,341,3.416,3.416,3.41,0.5999999999999659,False
510300.SH,2017-01-12 10:37:00,200,677,3.387,3.387,3.385,0.39999999999997726,False
510300.SH,2017-01-13 13:50:00,100,338,3.378,3.378,3.38,0.19999999999998863,False
510300.SH,2017-02-07 10:07:00,5300,17839,3.367,3.367,3.3658490566037735,6.099999999998545,False
510300.SH,2017-02-07 14:26:00,200,672,3.357,3.357,3.36,0.599999999999909,False
510300.SH,2017-02-22 11:29:00,200,695,3.479,3.479,3.475,0.8000000000000682,False
510300.SH,2017-02-24 13:51:00,200,691,3.458,3.458,3.455,0.6000000000000227,False
510300.SH,2017-02-28 13:01:00,381100,1313113,3.447,3.448,3.4455864602466546,538.6999999999534,True
510300.SH,2017-03-02 10:39:00,277100,955674,3.447,3.447,3.4488415734391915,510.29999999993015,True
510300.SH,2017-03-03 14:58:00,645400,2208351,3.423,3.424,3.421678029129222,853.2000000001863,True
510300.SH,2017-03-07 10:54:00,200,688,3.442,3.442,3.44,0.40000000000009095,False
510300.SH,2017-03-07 11:08:00,200,687,3.438,3.438,3.435,0.6000000000000227,False
510300.SH,2017-03-07 13:49:00,19,65,3.438,3.438,3.4210526315789473,0.32200000000000273,False
510300.SH,2017-03-24 13:18:00,100,346,3.458,3.458,3.46,0.19999999999998863,False
510300.SH,2017-03-27 13:48:00,200,695,3.478,3.478,3.475,0.6000000000000227,False
510300.SH,2017-03-29 10:15:00,551700,1905783,3.456,3.457,3.454382816748233,892.1999999999534,True
510300.SH,2017-04-10 14:49:00,1208900,4238002,3.503,3.504,3.5056679626106377,2016.4000000003725,True
510300.SH,2017-04-18 13:05:00,300,1043,3.478,3.478,3.4766666666666666,0.40000000000009095,False
510300.SH,2017-04-18 13:08:00,200,695,3.478,3.478,3.475,0.6000000000000227,False
510300.SH,2017-05-16 10:56:00,600000,2031180,3.388,3.388,3.3853,1620.0,True
510300.SH,2017-05-17 14:29:00,100,342,3.416,3.416,3.42,0.4000000000000341,False
510300.SH,2017-05-18 11:14:00,100,340,3.408,3.408,3.4,0.8000000000000114,False
