fit_index,fit_origin,mature_cycles,mature_rows,eight_inputs_complete,original_month_supported,five_distinct_cycle_analogues_available,status
632,2014-12-31,1,59,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
633,2015-01-05,1,59,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
653,2015-02-02,2,111,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
668,2015-03-02,3,117,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
690,2015-04-01,3,117,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
711,2015-05-04,3,117,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
731,2015-06-01,4,176,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
752,2015-07-01,5,201,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
775,2015-08-03,5,201,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
796,2015-09-01,5,201,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
816,2015-10-08,5,201,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
833,2015-11-02,5,201,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
854,2015-12-01,5,201,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
877,2016-01-04,6,260,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
897,2016-02-01,7,261,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
913,2016-03-01,7,261,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
936,2016-04-01,7,261,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
956,2016-05-03,7,261,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
977,2016-06-01,7,261,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
997,2016-07-01,7,261,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
1018,2016-08-01,8,320,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
1041,2016-09-01,8,320,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
1061,2016-10-10,8,320,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
1077,2016-11-01,8,320,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
1099,2016-12-01,9,379,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
1121,2017-01-03,9,379,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
1139,2017-02-03,9,379,True,False,False,NO_VIEW_ORIGINAL_MONTH_SUPPORT
1157,2017-03-01,10,438,True,True,True,INPUT_SUPPORT_AVAILABLE
1180,2017-04-05,10,438,True,True,True,INPUT_SUPPORT_AVAILABLE
1198,2017-05-02,10,438,True,True,True,INPUT_SUPPORT_AVAILABLE
1218,2017-06-01,11,497,True,True,True,INPUT_SUPPORT_AVAILABLE
1240,2017-07-03,11,497,True,True,True,INPUT_SUPPORT_AVAILABLE
1261,2017-08-01,11,497,True,True,True,INPUT_SUPPORT_AVAILABLE
1284,2017-09-01,12,556,True,True,True,INPUT_SUPPORT_AVAILABLE
1305,2017-10-09,12,556,True,True,True,INPUT_SUPPORT_AVAILABLE
1322,2017-11-01,12,556,True,True,True,INPUT_SUPPORT_AVAILABLE
1344,2017-12-01,13,615,True,True,True,INPUT_SUPPORT_AVAILABLE
1365,2018-01-02,13,615,True,True,True,INPUT_SUPPORT_AVAILABLE
1387,2018-02-01,13,615,True,True,True,INPUT_SUPPORT_AVAILABLE
1402,2018-03-01,14,671,True,True,True,INPUT_SUPPORT_AVAILABLE
1424,2018-04-02,14,671,True,True,True,INPUT_SUPPORT_AVAILABLE
1442,2018-05-02,14,671,True,True,True,INPUT_SUPPORT_AVAILABLE
1464,2018-06-01,14,671,True,True,True,INPUT_SUPPORT_AVAILABLE
1484,2018-07-02,14,671,True,True,True,INPUT_SUPPORT_AVAILABLE
1506,2018-08-01,14,671,True,True,True,INPUT_SUPPORT_AVAILABLE
1529,2018-09-03,14,671,True,True,True,INPUT_SUPPORT_AVAILABLE
1548,2018-10-08,14,671,True,True,True,INPUT_SUPPORT_AVAILABLE
1566,2018-11-01,15,678,True,True,True,INPUT_SUPPORT_AVAILABLE
1588,2018-12-03,15,678,True,True,True,INPUT_SUPPORT_AVAILABLE
1608,2019-01-02,15,678,True,True,True,INPUT_SUPPORT_AVAILABLE
1630,2019-02-01,15,678,True,True,True,INPUT_SUPPORT_AVAILABLE
1645,2019-03-01,15,678,True,True,True,INPUT_SUPPORT_AVAILABLE
1666,2019-04-01,15,678,True,True,True,INPUT_SUPPORT_AVAILABLE
1687,2019-05-06,15,678,True,True,True,INPUT_SUPPORT_AVAILABLE
1707,2019-06-03,16,721,True,True,True,INPUT_SUPPORT_AVAILABLE
1726,2019-07-01,16,721,True,True,True,INPUT_SUPPORT_AVAILABLE
1749,2019-08-01,17,759,True,True,True,INPUT_SUPPORT_AVAILABLE
1771,2019-09-02,17,759,True,True,True,INPUT_SUPPORT_AVAILABLE
1791,2019-10-08,17,759,True,True,True,INPUT_SUPPORT_AVAILABLE
1809,2019-11-01,17,759,True,True,True,INPUT_SUPPORT_AVAILABLE
1830,2019-12-02,17,759,True,True,True,INPUT_SUPPORT_AVAILABLE
1852,2020-01-02,17,759,True,True,True,INPUT_SUPPORT_AVAILABLE
1868,2020-02-03,17,759,True,True,True,INPUT_SUPPORT_AVAILABLE
1888,2020-03-02,17,759,True,True,True,INPUT_SUPPORT_AVAILABLE
1910,2020-04-01,18,787,True,True,True,INPUT_SUPPORT_AVAILABLE
1931,2020-05-06,18,787,True,True,True,INPUT_SUPPORT_AVAILABLE
1949,2020-06-01,19,829,True,True,True,INPUT_SUPPORT_AVAILABLE
1969,2020-07-01,19,829,True,True,True,INPUT_SUPPORT_AVAILABLE
1992,2020-08-03,19,829,True,True,True,INPUT_SUPPORT_AVAILABLE
2013,2020-09-01,19,829,True,True,True,INPUT_SUPPORT_AVAILABLE
2035,2020-10-09,20,888,True,True,True,INPUT_SUPPORT_AVAILABLE
2051,2020-11-02,20,888,True,True,True,INPUT_SUPPORT_AVAILABLE
2072,2020-12-01,20,888,True,True,True,INPUT_SUPPORT_AVAILABLE
2095,2021-01-04,20,888,True,True,True,INPUT_SUPPORT_AVAILABLE
2115,2021-02-01,20,888,True,True,True,INPUT_SUPPORT_AVAILABLE
2130,2021-03-01,20,862,True,True,True,INPUT_SUPPORT_AVAILABLE
2153,2021-04-01,20,862,True,True,True,INPUT_SUPPORT_AVAILABLE
2174,2021-05-06,20,862,True,True,True,INPUT_SUPPORT_AVAILABLE
2192,2021-06-01,20,862,True,True,True,INPUT_SUPPORT_AVAILABLE
2213,2021-07-01,20,862,True,True,True,INPUT_SUPPORT_AVAILABLE
2235,2021-08-02,20,844,True,True,True,INPUT_SUPPORT_AVAILABLE
2257,2021-09-01,20,844,True,True,True,INPUT_SUPPORT_AVAILABLE
2277,2021-10-08,20,844,True,True,True,INPUT_SUPPORT_AVAILABLE
2293,2021-11-01,20,844,True,True,True,INPUT_SUPPORT_AVAILABLE
2315,2021-12-01,20,844,True,True,True,INPUT_SUPPORT_AVAILABLE
2338,2022-01-04,20,844,True,True,True,INPUT_SUPPORT_AVAILABLE
2357,2022-02-07,20,892,True,True,True,INPUT_SUPPORT_AVAILABLE
2373,2022-03-01,20,892,True,True,True,INPUT_SUPPORT_AVAILABLE
2396,2022-04-01,20,892,True,True,True,INPUT_SUPPORT_AVAILABLE
2415,2022-05-05,20,892,True,True,True,INPUT_SUPPORT_AVAILABLE
2434,2022-06-01,20,892,True,True,True,INPUT_SUPPORT_AVAILABLE
2455,2022-07-01,20,892,True,True,True,INPUT_SUPPORT_AVAILABLE
2476,2022-08-01,20,892,True,True,True,INPUT_SUPPORT_AVAILABLE
2499,2022-09-01,20,890,True,True,True,INPUT_SUPPORT_AVAILABLE
2520,2022-10-10,20,885,True,True,True,INPUT_SUPPORT_AVAILABLE
2536,2022-11-01,20,885,True,True,True,INPUT_SUPPORT_AVAILABLE
2558,2022-12-01,20,885,True,True,True,INPUT_SUPPORT_AVAILABLE
2580,2023-01-03,20,885,True,True,True,INPUT_SUPPORT_AVAILABLE
2596,2023-02-01,20,885,True,True,True,INPUT_SUPPORT_AVAILABLE
2616,2023-03-01,20,885,True,True,True,INPUT_SUPPORT_AVAILABLE
2639,2023-04-03,20,885,True,True,True,INPUT_SUPPORT_AVAILABLE
2658,2023-05-04,20,885,True,True,True,INPUT_SUPPORT_AVAILABLE
2678,2023-06-01,20,885,True,True,True,INPUT_SUPPORT_AVAILABLE
2698,2023-07-03,20,885,True,True,True,INPUT_SUPPORT_AVAILABLE
2719,2023-08-01,20,885,True,True,True,INPUT_SUPPORT_AVAILABLE
2742,2023-09-01,20,885,True,True,True,INPUT_SUPPORT_AVAILABLE
2762,2023-10-09,20,885,True,True,True,INPUT_SUPPORT_AVAILABLE
2779,2023-11-01,20,885,True,True,True,INPUT_SUPPORT_AVAILABLE
2801,2023-12-01,20,885,True,True,True,INPUT_SUPPORT_AVAILABLE
2822,2024-01-02,20,885,True,True,True,INPUT_SUPPORT_AVAILABLE
2844,2024-02-01,20,885,True,True,True,INPUT_SUPPORT_AVAILABLE
2859,2024-03-01,20,885,True,True,True,INPUT_SUPPORT_AVAILABLE
2880,2024-04-01,20,885,True,True,True,INPUT_SUPPORT_AVAILABLE
2900,2024-05-06,20,885,True,True,True,INPUT_SUPPORT_AVAILABLE
2920,2024-06-03,20,885,True,True,True,INPUT_SUPPORT_AVAILABLE
2939,2024-07-01,20,885,True,True,True,INPUT_SUPPORT_AVAILABLE
2962,2024-08-01,20,915,True,True,True,INPUT_SUPPORT_AVAILABLE
2984,2024-09-02,20,915,True,True,True,INPUT_SUPPORT_AVAILABLE
3003,2024-10-08,20,896,True,True,True,INPUT_SUPPORT_AVAILABLE
3021,2024-11-01,20,842,True,True,True,INPUT_SUPPORT_AVAILABLE
3042,2024-12-02,20,842,True,True,True,INPUT_SUPPORT_AVAILABLE
3064,2025-01-02,20,842,True,True,True,INPUT_SUPPORT_AVAILABLE
3082,2025-02-05,20,842,True,True,True,INPUT_SUPPORT_AVAILABLE
3100,2025-03-03,20,842,True,True,True,INPUT_SUPPORT_AVAILABLE
3121,2025-04-01,20,842,True,True,True,INPUT_SUPPORT_AVAILABLE
3142,2025-05-06,20,842,True,True,True,INPUT_SUPPORT_AVAILABLE
3161,2025-06-03,20,842,True,True,True,INPUT_SUPPORT_AVAILABLE
3181,2025-07-01,20,842,True,True,True,INPUT_SUPPORT_AVAILABLE
3204,2025-08-01,20,842,True,True,True,INPUT_SUPPORT_AVAILABLE
3225,2025-09-01,20,842,True,True,True,INPUT_SUPPORT_AVAILABLE
3247,2025-10-09,20,842,True,True,True,INPUT_SUPPORT_AVAILABLE
3264,2025-11-03,20,842,True,True,True,INPUT_SUPPORT_AVAILABLE
3284,2025-12-01,20,842,True,True,True,INPUT_SUPPORT_AVAILABLE
3307,2026-01-05,20,842,True,True,True,INPUT_SUPPORT_AVAILABLE
3327,2026-02-02,20,842,True,True,True,INPUT_SUPPORT_AVAILABLE
3341,2026-03-02,20,795,True,True,True,INPUT_SUPPORT_AVAILABLE
3363,2026-04-01,20,795,True,True,True,INPUT_SUPPORT_AVAILABLE
3384,2026-05-06,20,795,True,True,True,INPUT_SUPPORT_AVAILABLE
3402,2026-06-01,20,795,True,True,True,INPUT_SUPPORT_AVAILABLE
3423,2026-07-01,20,795,True,True,True,INPUT_SUPPORT_AVAILABLE
3446,2026-08-03,20,790,True,True,True,INPUT_SUPPORT_AVAILABLE
