fit_index,fit_origin,cycles,rows,largest_equation_residual
2373,2022-03-01,20,892,1.942890293094024e-16
2396,2022-04-01,20,892,1.942890293094024e-16
2415,2022-05-05,20,892,1.942890293094024e-16
2434,2022-06-01,20,892,1.942890293094024e-16
2455,2022-07-01,20,892,1.942890293094024e-16
2476,2022-08-01,20,892,1.942890293094024e-16
2499,2022-09-01,20,890,1.1796119636642288e-16
2520,2022-10-10,20,885,8.326672684688674e-17
2536,2022-11-01,20,885,8.326672684688674e-17
2558,2022-12-01,20,885,8.326672684688674e-17
2580,2023-01-03,20,885,8.326672684688674e-17
2596,2023-02-01,20,885,8.326672684688674e-17
2616,2023-03-01,20,885,8.326672684688674e-17
2639,2023-04-03,20,885,8.326672684688674e-17
2658,2023-05-04,20,885,8.326672684688674e-17
2678,2023-06-01,20,885,8.326672684688674e-17
2698,2023-07-03,20,885,8.326672684688674e-17
2719,2023-08-01,20,885,8.326672684688674e-17
2742,2023-09-01,20,885,8.326672684688674e-17
2762,2023-10-09,20,885,8.326672684688674e-17
2779,2023-11-01,20,885,8.326672684688674e-17
2801,2023-12-01,20,885,8.326672684688674e-17
2822,2024-01-02,20,885,8.326672684688674e-17
2844,2024-02-01,20,885,8.326672684688674e-17
2859,2024-03-01,20,885,8.326672684688674e-17
2880,2024-04-01,20,885,8.326672684688674e-17
2900,2024-05-06,20,885,8.326672684688674e-17
2920,2024-06-03,20,885,8.326672684688674e-17
2939,2024-07-01,20,885,8.326672684688674e-17
2962,2024-08-01,20,915,9.71445146547012e-17
2984,2024-09-02,20,915,9.71445146547012e-17
3003,2024-10-08,20,896,1.0495077029659683e-16
3021,2024-11-01,20,842,9.020562075079397e-17
3042,2024-12-02,20,842,9.020562075079397e-17
3064,2025-01-02,20,842,9.020562075079397e-17
3082,2025-02-05,20,842,9.020562075079397e-17
3100,2025-03-03,20,842,9.020562075079397e-17
3121,2025-04-01,20,842,9.020562075079397e-17
3142,2025-05-06,20,842,9.020562075079397e-17
3161,2025-06-03,20,842,9.020562075079397e-17
3181,2025-07-01,20,842,9.020562075079397e-17
3204,2025-08-01,20,842,2.220446049250313e-16
3225,2025-09-01,20,842,2.220446049250313e-16
3247,2025-10-09,20,842,2.220446049250313e-16
3264,2025-11-03,20,842,1.1102230246251565e-16
3284,2025-12-01,20,842,1.1102230246251565e-16
3307,2026-01-05,20,842,1.1102230246251565e-16
3327,2026-02-02,20,842,1.3877787807814457e-16
3341,2026-03-02,20,795,1.8041124150158794e-16
3363,2026-04-01,20,795,1.8041124150158794e-16
3384,2026-05-06,20,795,1.8041124150158794e-16
3402,2026-06-01,20,795,1.8041124150158794e-16
3423,2026-07-01,20,795,1.8041124150158794e-16
3446,2026-08-03,20,790,1.8041124150158794e-16
