period,cost,holding_decisions,model_available_rows,no_model_rows,learned_exit_cycles,completed_round_trips,unfilled_requests,waiting_for_new_condition_rows
evaluation,BASE,226,226,0,25,27,0,368
evaluation,STRESS,226,226,0,25,27,0,368
earlier_diagnostic,BASE,340,136,204,0,9,0,348
earlier_diagnostic,STRESS,340,136,204,0,9,0,348
