period,model,cost,decision_origins,parent_signal_episodes,ended_signal_episodes,last_signal_episode_active,positive_target_origins,zero_target_origins,unknown_target_origins,changed_parent_target_origins,mean_target
evaluation,EPISODE_BUDGET_NONINCREASING,BASE,1604,23,22,True,312,1292,0,179,0.05258888848697167
evaluation,EPISODE_BUDGET_NONDECREASING,BASE,1604,23,22,True,312,1292,0,205,0.08172139348897124
evaluation,EPISODE_BUDGET_NONINCREASING,STRESS,1604,23,22,True,312,1292,0,179,0.05258888848697167
evaluation,EPISODE_BUDGET_NONDECREASING,STRESS,1604,23,22,True,312,1292,0,205,0.08172139348897124
earlier_diagnostic,EPISODE_BUDGET_NONINCREASING,BASE,1219,10,10,False,302,917,0,258,0.08380339374796884
earlier_diagnostic,EPISODE_BUDGET_NONDECREASING,BASE,1219,10,10,False,302,917,0,230,0.13431916576873956
earlier_diagnostic,EPISODE_BUDGET_NONINCREASING,STRESS,1219,10,10,False,308,911,0,264,0.08526746949922695
earlier_diagnostic,EPISODE_BUDGET_NONDECREASING,STRESS,1219,10,10,False,308,911,0,233,0.13851750194473753
