period,cost,model,decision_origins,parent_signal_episodes,changed_parent_target_origins,positive_signal_calendar_equal_parent,unknown_calendar_equal_parent,independent_group_cumulative_extreme_matches
evaluation,BASE,EPISODE_BUDGET_NONINCREASING,1604,23,179,True,True,True
evaluation,BASE,EPISODE_BUDGET_NONDECREASING,1604,23,205,True,True,True
evaluation,STRESS,EPISODE_BUDGET_NONINCREASING,1604,23,179,True,True,True
evaluation,STRESS,EPISODE_BUDGET_NONDECREASING,1604,23,205,True,True,True
earlier_diagnostic,BASE,EPISODE_BUDGET_NONINCREASING,1219,10,258,True,True,True
earlier_diagnostic,BASE,EPISODE_BUDGET_NONDECREASING,1219,10,230,True,True,True
earlier_diagnostic,STRESS,EPISODE_BUDGET_NONINCREASING,1219,10,264,True,True,True
earlier_diagnostic,STRESS,EPISODE_BUDGET_NONDECREASING,1219,10,233,True,True,True
