scope,months,months_with_original_pe,raw_pe_company_months,excluded_pe_company_months,excluded_share,unique_original_reports_used,unique_relation_excluded_reports_used,months_with_any_exclusion,months_with_median_changed,months_with_median_increased,months_with_median_decreased,months_losing_original_source_coverage,median_absolute_factor_change,maximum_absolute_factor_change,minimum_qualified_company_count
全部已保存139个月末,139,107,7020,2237,0.31866096866096866,1938,597,107,50,30,20,0,0.0018867017569158956,0.011367323180274058,0
原EPS覆盖合格月末,50,50,6600,1995,0.30227272727272725,1842,537,50,47,29,18,0,0.0018503224226243675,0.011367323180274058,55
原EPS实际形成预测月末,36,36,4879,1621,0.3322402131584341,1381,436,36,33,19,14,0,0.0009196696696696649,0.011367323180274058,57
曾进入原EPS任意训练样本的月末,47,47,6281,1921,0.30584301862760704,1795,524,47,44,26,18,0,0.0018139430883328395,0.011367323180274058,55
