origin,original_pe_company_count,qualified_pe_company_count,excluded_pe_company_count,original_pe_inverse_median,qualified_pe_inverse_median,pe_median_change,pe_median_absolute_change,original_eps_valid,qualified_source_valid,original_E3_prediction_month,used_in_any_original_E3_training,original_eps_growth_company_count,original_profit_revision_company_count
2015-01-30,0,0,0,,,,,False,False,False,False,0,0
2015-02-27,0,0,0,,,,,False,False,False,False,0,0
2015-03-31,0,0,0,,,,,False,False,False,False,0,0
2015-04-30,0,0,0,,,,,False,False,False,False,0,0
2015-05-29,0,0,0,,,,,False,False,False,False,0,0
2015-06-30,0,0,0,,,,,False,False,False,False,0,0
2015-07-31,0,0,0,,,,,False,False,False,False,0,0
2015-08-31,0,0,0,,,,,False,False,False,False,0,0
2015-09-30,0,0,0,,,,,False,False,False,False,0,0
2015-10-30,0,0,0,,,,,False,False,False,False,0,0
2015-11-30,0,0,0,,,,,False,False,False,False,0,0
2015-12-31,0,0,0,,,,,False,False,False,False,0,0
2016-01-29,0,0,0,,,,,False,False,False,False,0,0
2016-02-29,0,0,0,,,,,False,False,False,False,0,0
2016-03-31,0,0,0,,,,,False,False,False,False,0,0
2016-04-29,0,0,0,,,,,False,False,False,False,0,0
2016-05-31,0,0,0,,,,,False,False,False,False,0,0
2016-06-30,0,0,0,,,,,False,False,False,False,0,0
2016-07-29,0,0,0,,,,,False,False,False,False,0,0
2016-08-31,0,0,0,,,,,False,False,False,False,0,0
2016-09-30,0,0,0,,,,,False,False,False,False,0,0
2016-10-31,0,0,0,,,,,False,False,False,False,0,0
2016-11-30,0,0,0,,,,,False,False,False,False,0,0
2016-12-30,0,0,0,,,,,False,False,False,False,0,0
2017-01-26,0,0,0,,,,,False,False,False,False,0,0
2017-02-28,0,0,0,,,,,False,False,False,False,0,0
2017-03-31,0,0,0,,,,,False,False,False,False,0,0
2017-04-28,0,0,0,,,,,False,False,False,False,0,0
2017-05-31,0,0,0,,,,,False,False,False,False,0,0
2017-06-30,0,0,0,,,,,False,False,False,False,1,0
2017-07-31,0,0,0,,,,,False,False,False,False,1,0
2017-08-31,3,0,3,0.05714285714285714,,,,False,False,False,False,3,0
2017-09-29,4,0,4,0.05650438946528332,,,,False,False,False,False,4,1
2017-10-31,4,0,4,0.052087550265835426,,,,False,False,False,False,4,1
2017-11-30,6,0,6,0.0558659217877095,,,,False,False,False,False,6,4
2017-12-29,6,0,6,0.0558659217877095,,,,False,False,False,False,6,4
2018-01-31,6,0,6,0.06231073841136735,,,,False,False,False,False,6,6
2018-02-28,4,0,4,0.05907085027276834,,,,False,False,False,False,4,4
2018-03-30,4,0,4,0.05907085027276834,,,,False,False,False,False,4,4
2018-04-27,3,0,3,0.06289308176100629,,,,False,False,False,False,3,3
2018-05-31,0,0,0,,,,,False,False,False,False,0,0
2018-06-29,2,0,2,0.04927548052089281,,,,False,False,False,False,2,1
2018-07-31,1,0,1,0.01658374792703151,,,,False,False,False,False,1,0
2018-08-31,2,0,2,0.08478186775732788,,,,False,False,False,False,2,1
2018-09-28,2,0,2,0.08478186775732788,,,,False,False,False,False,2,1
2018-10-31,3,0,3,0.10101010101010101,,,,False,False,False,False,3,1
2018-11-30,3,0,3,0.10101010101010101,,,,False,False,False,False,3,2
2018-12-28,3,0,3,0.10101010101010101,,,,False,False,False,False,3,2
2019-01-31,3,0,3,0.1234567901234568,,,,False,False,False,False,3,3
2019-02-28,2,0,2,0.1352578068264343,,,,False,False,False,False,2,2
2019-03-29,3,0,3,0.12195121951219513,,,,False,False,False,False,3,2
2019-04-30,2,0,2,0.11715538503699643,,,,False,False,False,False,2,1
2019-05-31,2,0,2,0.11715538503699643,,,,False,False,False,False,2,1
2019-06-28,2,0,2,0.11715538503699643,,,,False,False,False,False,2,2
2019-07-31,2,0,2,0.11715538503699643,,,,False,False,False,False,2,2
2019-08-30,3,0,3,0.12195121951219513,,,,False,False,False,False,3,2
2019-09-30,2,0,2,0.16967126193001061,,,,False,False,False,False,2,1
2019-10-31,2,0,2,0.16967126193001061,,,,False,False,False,False,2,1
2019-11-29,2,0,2,0.16564326037436863,,,,False,False,False,False,2,2
2019-12-31,2,0,2,0.16564326037436863,,,,False,False,False,False,2,2
2020-01-23,2,0,2,0.19167510121457487,,,,False,False,False,False,2,2
2020-02-28,1,0,1,0.12019230769230768,,,,False,False,False,False,2,1
2020-03-31,2,0,2,0.13472301951779564,,,,False,False,False,False,3,1
2020-04-30,2,0,2,0.10328016080058161,,,,False,False,False,False,3,0
2020-05-29,2,0,2,0.10328016080058161,,,,False,False,False,False,3,1
2020-06-30,3,0,3,0.14925373134328357,,,,False,False,False,False,4,3
2020-07-31,3,0,3,0.14925373134328357,,,,False,False,False,False,4,3
2020-08-31,4,0,4,0.10328016080058161,,,,False,False,False,False,4,2
2020-09-30,4,0,4,0.041414908196831614,,,,False,False,False,False,4,1
2020-10-30,4,0,4,0.025451968397841022,,,,False,False,False,False,4,1
2020-11-30,8,0,8,0.026178010471204185,,,,False,False,False,False,8,2
2020-12-31,6,0,6,0.026178010471204185,,,,False,False,False,False,6,2
2021-01-29,5,0,5,0.03125,,,,False,False,False,False,5,2
2021-02-26,5,0,5,0.03125,,,,False,False,False,False,5,5
2021-03-31,5,0,5,0.031545741324921134,,,,False,False,False,False,5,4
2021-04-30,9,0,9,0.031545741324921134,,,,False,False,False,False,9,5
2021-05-31,8,0,8,0.026212364815654587,,,,False,False,False,False,8,3
2021-06-30,6,0,6,0.02733401948061634,,,,False,False,False,False,6,2
2021-07-30,4,0,4,0.03739316239316239,,,,False,False,False,False,4,4
2021-08-31,5,0,5,0.046296296296296294,,,,False,False,False,False,5,4
2021-09-30,5,0,5,0.046296296296296294,,,,False,False,False,False,5,4
2021-10-29,2,0,2,0.1530612244897959,,,,False,False,False,False,2,1
2021-11-30,2,0,2,0.1530612244897959,,,,False,False,False,False,2,2
2021-12-31,2,0,2,0.1530612244897959,,,,False,False,False,False,2,2
2022-01-28,2,0,2,0.17375033413525795,,,,False,False,False,False,2,2
2022-02-28,1,0,1,0.23255813953488372,,,,False,False,False,False,1,1
2022-03-31,31,22,9,0.09090909090909091,0.08041958041958042,-0.010489510489510495,0.010489510489510495,False,False,False,False,32,0
