period,cost,terminal_equity_increment,price_pnl_increment,dividend_increment,extra_friction_cny,net_sharpe_increment
evaluation,BASE,-3834.231799999863,-3876.200000000019,-174.79999999999927,-216.76819999992586,-0.05260712163908615
evaluation,STRESS,-3512.9743599997746,-3766.300000000003,-131.3000000000011,-384.6256400000748,-0.05381329357501263
earlier_diagnostic,BASE,18608.43246000001,17953.300000000017,161.0,-494.13245999993705,0.12763912076055298
earlier_diagnostic,STRESS,18470.082280000148,17514.600000000006,165.59999999999945,-789.8822800000344,0.13397290099772696
