model,period,cost,origin,next_execution,reference_weight,cycle_basis,cycle_return,cycle_number,triggered_protection,pending_protective_exit,waiting_source_zero,protection_active,own_close_equity,own_close_shares
CYCLE_LOSS_BAND00_01,evaluation,BASE,2020-09-07,2020-09-08,0.0,231862.41058,-0.011932938819530503,5.0,1.0,1.0,1.0,1.0,229095.61062,23300.0
CYCLE_LOSS_BAND00_01,evaluation,BASE,2021-06-29,2021-06-30,0.0,256279.66743999993,-0.014852239344704032,9.0,1.0,1.0,1.0,1.0,252473.3404799999,41300.0
CYCLE_LOSS_BAND00_01,evaluation,BASE,2022-05-16,2022-05-17,0.0,267980.51735999994,-0.010799770925556174,16.0,1.0,1.0,1.0,1.0,265086.3891599999,59300.0
CYCLE_LOSS_BAND00_01,evaluation,BASE,2022-08-24,2022-08-25,0.0,265454.54727999994,-0.012763477720448502,17.0,1.0,1.0,1.0,1.0,262066.4240799999,56700.0
CYCLE_LOSS_BAND00_01,evaluation,BASE,2024-04-12,2024-04-15,0.0,268211.16212,-0.014650614720657762,27.0,1.0,1.0,1.0,1.0,264281.70372,76000.0
CYCLE_LOSS_BAND00_01,evaluation,BASE,2024-06-24,2024-06-25,0.0,264077.05092,-0.010363301129218905,28.0,1.0,1.0,1.0,1.0,261340.34092,50600.0
CYCLE_LOSS_BAND00_01,evaluation,BASE,2024-08-05,2024-08-06,0.0,261001.39175999997,-0.012761491950444515,29.0,1.0,1.0,1.0,1.0,257670.62459999992,60900.0
CYCLE_LOSS_BAND00_01,evaluation,BASE,2024-09-02,2024-09-03,0.0,258725.09591999996,-0.012026632317732933,30.0,1.0,1.0,1.0,1.0,255613.50431999995,76500.0
CYCLE_LOSS_BAND00_01,evaluation,BASE,2024-10-09,2024-10-10,0.0,326327.56174000003,-0.020362221948307946,32.0,1.0,1.0,1.0,1.0,319682.8075,24900.0
CYCLE_LOSS_BAND00_01,evaluation,BASE,2026-06-05,2026-06-08,0.0,376338.91356,-0.014188426781299723,41.0,1.0,1.0,1.0,1.0,370999.2564400001,76300.0
CYCLE_LOSS_BAND00_01,evaluation,BASE,2026-07-24,2026-07-27,0.0,366653.40682000003,-0.012938732469841674,42.0,1.0,1.0,1.0,1.0,361909.37648000004,64000.0
CYCLE_LOSS_BAND00_01,evaluation,STRESS,2020-09-07,2020-09-08,0.0,231041.77536,-0.012248071049448472,5.0,1.0,1.0,1.0,1.0,228211.95928,23300.0
CYCLE_LOSS_BAND00_01,evaluation,STRESS,2021-06-29,2021-06-30,0.0,254832.38236000005,-0.0165594811810007,9.0,1.0,1.0,1.0,1.0,250612.49032000004,41000.0
CYCLE_LOSS_BAND00_01,evaluation,STRESS,2022-05-16,2022-05-17,0.0,264961.38016000006,-0.011409901315332927,16.0,1.0,1.0,1.0,1.0,261938.19696000006,58600.0
CYCLE_LOSS_BAND00_01,evaluation,STRESS,2022-08-24,2022-08-25,0.0,262138.46832000007,-0.013350625806388017,17.0,1.0,1.0,1.0,1.0,258638.75572000004,56000.0
CYCLE_LOSS_BAND00_01,evaluation,STRESS,2024-04-12,2024-04-15,0.0,263502.24760000006,-0.015403310586410535,27.0,1.0,1.0,1.0,1.0,259443.44064000002,74600.0
CYCLE_LOSS_BAND00_01,evaluation,STRESS,2024-06-24,2024-06-25,0.0,259041.73456,-0.010899775222691144,28.0,1.0,1.0,1.0,1.0,256218.23788,49500.0
CYCLE_LOSS_BAND00_01,evaluation,STRESS,2024-08-05,2024-08-06,0.0,255753.11608,-0.01332810599630685,29.0,1.0,1.0,1.0,1.0,252344.41144,59400.0
CYCLE_LOSS_BAND00_01,evaluation,STRESS,2024-09-02,2024-09-03,0.0,253213.45720000003,-0.012822719123634418,30.0,1.0,1.0,1.0,1.0,249966.57216,74900.0
CYCLE_LOSS_BAND00_01,evaluation,STRESS,2024-10-09,2024-10-10,0.0,318127.15208,-0.02051735338314853,32.0,1.0,1.0,1.0,1.0,311600.02488000004,24200.0
CYCLE_LOSS_BAND00_01,evaluation,STRESS,2026-06-05,2026-06-08,0.0,363913.20835999976,-0.014797103145190005,41.0,1.0,1.0,1.0,1.0,358528.3470799998,73800.0
