model,period,cost,triggers,waiting_zero_origins,pending_exit_origins,unknown_source_protection_origins,fills
CYCLE_LOSS_BAND00_01,evaluation,BASE,11,141,11,0,185
CYCLE_LOSS_BAND00_01,evaluation,STRESS,11,141,11,0,178
CYCLE_LOSS_BAND00_01,earlier_diagnostic,BASE,7,185,7,0,98
CYCLE_LOSS_BAND00_01,earlier_diagnostic,STRESS,7,192,7,0,108
CYCLE_LOSS_BAND00_02,evaluation,BASE,6,51,6,0,220
CYCLE_LOSS_BAND00_02,evaluation,STRESS,6,51,6,0,212
CYCLE_LOSS_BAND00_02,earlier_diagnostic,BASE,4,152,4,0,102
CYCLE_LOSS_BAND00_02,earlier_diagnostic,STRESS,6,176,6,0,106
CYCLE_LOSS_BAND00_03,evaluation,BASE,3,19,3,0,219
CYCLE_LOSS_BAND00_03,evaluation,STRESS,3,19,3,0,216
CYCLE_LOSS_BAND00_03,earlier_diagnostic,BASE,4,150,4,0,99
CYCLE_LOSS_BAND00_03,earlier_diagnostic,STRESS,4,150,4,0,109
CYCLE_LOSS_BAND20_01,evaluation,BASE,11,139,11,0,116
CYCLE_LOSS_BAND20_01,evaluation,STRESS,11,139,11,0,116
CYCLE_LOSS_BAND20_01,earlier_diagnostic,BASE,7,180,7,0,55
CYCLE_LOSS_BAND20_01,earlier_diagnostic,STRESS,7,189,7,0,56
CYCLE_LOSS_BAND20_02,evaluation,BASE,6,51,6,0,122
CYCLE_LOSS_BAND20_02,evaluation,STRESS,6,51,6,0,122
CYCLE_LOSS_BAND20_02,earlier_diagnostic,BASE,5,152,5,0,55
CYCLE_LOSS_BAND20_02,earlier_diagnostic,STRESS,6,158,6,0,56
CYCLE_LOSS_BAND20_03,evaluation,BASE,3,19,3,0,124
CYCLE_LOSS_BAND20_03,evaluation,STRESS,4,21,4,0,123
CYCLE_LOSS_BAND20_03,earlier_diagnostic,BASE,3,94,3,0,55
CYCLE_LOSS_BAND20_03,earlier_diagnostic,STRESS,3,94,3,0,56
