period,model,cost,decision_origins,positive_source_origins,zero_source_origins,unknown_source_origins,mean_source_target,rebalance_band,loss_fraction
evaluation,CYCLE_LOSS_BAND00_01,BASE,1604,615,989,0,0.19888512905769798,0.0,0.01
evaluation,CYCLE_LOSS_BAND00_02,BASE,1604,615,989,0,0.19888512905769798,0.0,0.02
evaluation,CYCLE_LOSS_BAND00_03,BASE,1604,615,989,0,0.19888512905769798,0.0,0.03
evaluation,CYCLE_LOSS_BAND20_01,BASE,1604,615,989,0,0.19888512905769798,0.2,0.01
evaluation,CYCLE_LOSS_BAND20_02,BASE,1604,615,989,0,0.19888512905769798,0.2,0.02
evaluation,CYCLE_LOSS_BAND20_03,BASE,1604,615,989,0,0.19888512905769798,0.2,0.03
evaluation,CYCLE_LOSS_BAND00_01,STRESS,1604,615,989,0,0.19906205407764183,0.0,0.01
evaluation,CYCLE_LOSS_BAND00_02,STRESS,1604,615,989,0,0.19906205407764183,0.0,0.02
evaluation,CYCLE_LOSS_BAND00_03,STRESS,1604,615,989,0,0.19906205407764183,0.0,0.03
evaluation,CYCLE_LOSS_BAND20_01,STRESS,1604,615,989,0,0.19906205407764183,0.2,0.01
evaluation,CYCLE_LOSS_BAND20_02,STRESS,1604,615,989,0,0.19906205407764183,0.2,0.02
evaluation,CYCLE_LOSS_BAND20_03,STRESS,1604,615,989,0,0.19906205407764183,0.2,0.03
earlier_diagnostic,CYCLE_LOSS_BAND00_01,BASE,1219,524,695,0,0.2734814646864234,0.0,0.01
earlier_diagnostic,CYCLE_LOSS_BAND00_02,BASE,1219,524,695,0,0.2734814646864234,0.0,0.02
earlier_diagnostic,CYCLE_LOSS_BAND00_03,BASE,1219,524,695,0,0.2734814646864234,0.0,0.03
earlier_diagnostic,CYCLE_LOSS_BAND20_01,BASE,1219,524,695,0,0.2734814646864234,0.2,0.01
earlier_diagnostic,CYCLE_LOSS_BAND20_02,BASE,1219,524,695,0,0.2734814646864234,0.2,0.02
earlier_diagnostic,CYCLE_LOSS_BAND20_03,BASE,1219,524,695,0,0.2734814646864234,0.2,0.03
earlier_diagnostic,CYCLE_LOSS_BAND00_01,STRESS,1219,530,689,0,0.27748954869784054,0.0,0.01
earlier_diagnostic,CYCLE_LOSS_BAND00_02,STRESS,1219,530,689,0,0.27748954869784054,0.0,0.02
earlier_diagnostic,CYCLE_LOSS_BAND00_03,STRESS,1219,530,689,0,0.27748954869784054,0.0,0.03
earlier_diagnostic,CYCLE_LOSS_BAND20_01,STRESS,1219,530,689,0,0.27748954869784054,0.2,0.01
earlier_diagnostic,CYCLE_LOSS_BAND20_02,STRESS,1219,530,689,0,0.27748954869784054,0.2,0.02
earlier_diagnostic,CYCLE_LOSS_BAND20_03,STRESS,1219,530,689,0,0.27748954869784054,0.2,0.03
