fit_origin,cycles,rows,maximum_coefficient_gradient,maximum_intercept_gradient
2017-03-01,10,438,2.740863092043355e-16,5.669022109383581e-17
2017-04-05,10,438,2.740863092043355e-16,5.669022109383581e-17
2017-05-02,10,438,2.740863092043355e-16,5.669022109383581e-17
2017-06-01,11,497,4.2500725161431774e-16,8.216897214724517e-17
2017-07-03,11,497,4.2500725161431774e-16,8.216897214724517e-17
2017-08-01,11,497,4.2500725161431774e-16,8.216897214724517e-17
2017-09-01,12,556,1.0408340855860843e-16,6.114900252818245e-17
2017-10-09,12,556,1.0408340855860843e-16,6.114900252818245e-17
2017-11-01,12,556,1.0408340855860843e-16,6.114900252818245e-17
2017-12-01,13,615,4.2652513465579744e-16,5.5077470362263625e-17
2018-01-02,13,615,4.2652513465579744e-16,5.5077470362263625e-17
2018-02-01,13,615,4.2652513465579744e-16,5.5077470362263625e-17
2018-03-01,14,671,3.3480163086352377e-16,9.400032835449323e-17
2018-04-02,14,671,3.3480163086352377e-16,9.400032835449323e-17
2018-05-02,14,671,3.3480163086352377e-16,9.400032835449323e-17
2018-06-01,14,671,3.3480163086352377e-16,9.400032835449323e-17
2018-07-02,14,671,3.3480163086352377e-16,9.400032835449323e-17
2018-08-01,14,671,3.3480163086352377e-16,9.400032835449323e-17
2018-09-03,14,671,3.3480163086352377e-16,9.400032835449323e-17
2018-10-08,14,671,3.3480163086352377e-16,9.400032835449323e-17
2018-11-01,15,678,4.388850394221322e-16,7.039182604862138e-17
2018-12-03,15,678,4.388850394221322e-16,7.039182604862138e-17
2019-01-02,15,678,4.388850394221322e-16,7.039182604862138e-17
2019-02-01,15,678,4.388850394221322e-16,7.039182604862138e-17
2019-03-01,15,678,4.388850394221322e-16,7.039182604862138e-17
2019-04-01,15,678,4.388850394221322e-16,7.039182604862138e-17
2019-05-06,15,678,4.388850394221322e-16,7.039182604862138e-17
2019-06-03,16,721,6.581107186987012e-16,9.93129189996722e-17
2019-07-01,16,721,6.581107186987012e-16,9.93129189996722e-17
2019-08-01,17,759,5.204170427930421e-16,4.3259666682171627e-17
2019-09-02,17,759,5.204170427930421e-16,4.3259666682171627e-17
2019-10-08,17,759,5.204170427930421e-16,4.3259666682171627e-17
2019-11-01,17,759,5.204170427930421e-16,4.3259666682171627e-17
2019-12-02,17,759,5.204170427930421e-16,4.3259666682171627e-17
2020-01-02,17,759,5.204170427930421e-16,4.3259666682171627e-17
2020-02-03,17,759,5.204170427930421e-16,4.3259666682171627e-17
2020-03-02,17,759,5.204170427930421e-16,4.3259666682171627e-17
2020-04-01,18,787,3.95516952522712e-16,8.061043152429725e-17
2020-05-06,18,787,3.95516952522712e-16,8.061043152429725e-17
2020-06-01,19,829,5.724587470723463e-16,1.1611805267319752e-16
2020-07-01,19,829,5.724587470723463e-16,1.1611805267319752e-16
2020-08-03,19,829,5.724587470723463e-16,1.1611805267319752e-16
2020-09-01,19,829,5.724587470723463e-16,1.1611805267319752e-16
2020-10-09,20,888,6.730727086790012e-16,1.474514954580286e-16
