period,cost,holding_decisions,model_available_rows,no_model_rows,learned_exit_cycles,completed_round_trips,unfilled_requests,waiting_for_new_condition_rows
evaluation,BASE,314,314,0,14,20,0,349
evaluation,STRESS,320,320,0,13,20,0,348
earlier_diagnostic,BASE,271,67,204,3,9,0,409
earlier_diagnostic,STRESS,271,67,204,3,9,0,409
