period,cost,terminal_nav_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference
evaluation,BASE,2260.378779999737,2186.800000000032,114.29999999999927,10.42122000000063,30.30000000005566
evaluation,STRESS,-17119.89255999995,-17036.099999999962,-791.3000000000011,-194.60743999999977,-512.9000000000033
earlier_diagnostic,BASE,-2790.475480000139,-2795.4000000000087,0.0,-1.724519999999984,-3.2000000000334694
earlier_diagnostic,STRESS,-2733.8634399999282,-2742.6000000000204,0.0,-3.1365599999999176,-5.600000000000364
