period,cost,days,cycles,net_sharpe
evaluation,BASE,1604,20,0.8964782459664362
evaluation,STRESS,1604,20,0.6999028973009972
earlier_diagnostic,BASE,1219,9,0.7362855120356119
earlier_diagnostic,STRESS,1219,9,0.7126848969998328
