period,cost,model,control,terminal_nav_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference
evaluation,BASE,AGE_BACKWARD_EXIT,WITHIN_CYCLE_EXIT,-51175.53684000007,-52825.6,1718.7999999999993,-22.46315999999979,91.20000000000255
evaluation,BASE,AGE_NATURAL_TARGET,WITHIN_CYCLE_EXIT,-122195.20754000026,-111728.90000000001,-9198.599999999999,316.10754,951.6000000000176
evaluation,STRESS,AGE_BACKWARD_EXIT,WITHIN_CYCLE_EXIT,-50848.06804000001,-52478.90000000001,1674.5,-52.331959999999526,95.99999999995998
evaluation,STRESS,AGE_NATURAL_TARGET,WITHIN_CYCLE_EXIT,-121318.17756000007,-110027.09999999999,-9042.0,598.0775599999997,1650.9999999999527
earlier_diagnostic,BASE,AGE_BACKWARD_EXIT,WITHIN_CYCLE_EXIT,-13402.739280000038,-13436.399999999994,0.0,-10.860720000000015,-22.800000000033833
earlier_diagnostic,BASE,AGE_NATURAL_TARGET,WITHIN_CYCLE_EXIT,-13402.739280000038,-13436.399999999994,0.0,-10.860720000000015,-22.800000000033833
earlier_diagnostic,STRESS,AGE_BACKWARD_EXIT,WITHIN_CYCLE_EXIT,-13206.135560000199,-13272.299999999988,0.0,-21.36443999999983,-44.79999999996471
earlier_diagnostic,STRESS,AGE_NATURAL_TARGET,WITHIN_CYCLE_EXIT,-13206.135560000199,-13272.299999999988,0.0,-21.36443999999983,-44.79999999996471
