period,cost,model,days,cycles,net_sharpe
evaluation,BASE,AGE_BACKWARD_EXIT,1604,23,0.4800722173779814
evaluation,BASE,AGE_NATURAL_TARGET,1604,30,-0.06387305602685314
evaluation,STRESS,AGE_BACKWARD_EXIT,1604,23,0.42819752366329433
evaluation,STRESS,AGE_NATURAL_TARGET,1604,30,-0.14858024317420818
earlier_diagnostic,BASE,AGE_BACKWARD_EXIT,1219,9,0.6718472626769697
earlier_diagnostic,BASE,AGE_NATURAL_TARGET,1219,9,0.6718472626769697
earlier_diagnostic,STRESS,AGE_BACKWARD_EXIT,1219,9,0.6484178623232807
earlier_diagnostic,STRESS,AGE_NATURAL_TARGET,1219,9,0.6484178623232807
