period,cost,model,year,new_return,parent_return,return_difference
evaluation,BASE,AGE_BACKWARD_EXIT,2020,0.06146802889999985,0.1984676459999992,-0.13699961709999933
evaluation,BASE,AGE_BACKWARD_EXIT,2021,-0.005844220863089765,0.04617691331485621,-0.052021134177945974
evaluation,BASE,AGE_BACKWARD_EXIT,2022,-0.0018710119208145417,0.02614325317990448,-0.02801426510071902
evaluation,BASE,AGE_BACKWARD_EXIT,2023,0.0,0.0,0.0
evaluation,BASE,AGE_BACKWARD_EXIT,2024,0.215746812177076,0.1052417254962333,0.1105050866808427
evaluation,BASE,AGE_BACKWARD_EXIT,2025,0.11183340752768389,0.074523493402178,0.0373099141255059
evaluation,BASE,AGE_BACKWARD_EXIT,2026,-0.08207390462284246,0.02277813084023497,-0.10485203546307743
evaluation,BASE,AGE_NATURAL_TARGET,2020,0.06918448529999924,0.1984676459999992,-0.12928316069999995
evaluation,BASE,AGE_NATURAL_TARGET,2021,-0.041011651967337054,0.04617691331485621,-0.08718856528219326
evaluation,BASE,AGE_NATURAL_TARGET,2022,-0.010797169508181308,0.02614325317990448,-0.03694042268808578
evaluation,BASE,AGE_NATURAL_TARGET,2023,0.0,0.0,0.0
evaluation,BASE,AGE_NATURAL_TARGET,2024,-0.01041396437971927,0.1052417254962333,-0.11565568987595257
evaluation,BASE,AGE_NATURAL_TARGET,2025,0.010526558804514193,0.074523493402178,-0.0639969345976638
evaluation,BASE,AGE_NATURAL_TARGET,2026,-0.061598535617690346,0.02277813084023497,-0.08437666645792531
evaluation,STRESS,AGE_BACKWARD_EXIT,2020,0.05715133779999957,0.19339729239999978,-0.13624595460000022
evaluation,STRESS,AGE_BACKWARD_EXIT,2021,-0.014262112585863304,0.040063838676763254,-0.05432595126262656
evaluation,STRESS,AGE_BACKWARD_EXIT,2022,-0.005963402451482837,0.023338175914139076,-0.029301578365621913
evaluation,STRESS,AGE_BACKWARD_EXIT,2023,0.0,0.0,0.0
evaluation,STRESS,AGE_BACKWARD_EXIT,2024,0.20827884820195003,0.09846225867325524,0.10981658952869479
evaluation,STRESS,AGE_BACKWARD_EXIT,2025,0.1079412343154937,0.07086640956728539,0.03707482474820831
evaluation,STRESS,AGE_BACKWARD_EXIT,2026,-0.08733743851974457,0.01721367700991211,-0.10455111552965668
evaluation,STRESS,AGE_NATURAL_TARGET,2020,0.06483226419999959,0.19339729239999978,-0.1285650282000002
evaluation,STRESS,AGE_NATURAL_TARGET,2021,-0.05013178844661025,0.040063838676763254,-0.0901956271233735
evaluation,STRESS,AGE_NATURAL_TARGET,2022,-0.014862790516276207,0.023338175914139076,-0.03820096643041528
evaluation,STRESS,AGE_NATURAL_TARGET,2023,0.0,0.0,0.0
evaluation,STRESS,AGE_NATURAL_TARGET,2024,-0.01794020377510786,0.09846225867325524,-0.11640246244836311
evaluation,STRESS,AGE_NATURAL_TARGET,2025,0.00418829938249281,0.07086640956728539,-0.06667811018479258
evaluation,STRESS,AGE_NATURAL_TARGET,2026,-0.07062028414499534,0.01721367700991211,-0.08783396115490745
earlier_diagnostic,BASE,AGE_BACKWARD_EXIT,2015,0.32273049870000053,0.32273049870000053,0.0
earlier_diagnostic,BASE,AGE_BACKWARD_EXIT,2016,0.026171735386779606,0.026171735386779606,0.0
earlier_diagnostic,BASE,AGE_BACKWARD_EXIT,2017,0.08685355077126991,0.10178593051068936,-0.014932379739419452
earlier_diagnostic,BASE,AGE_BACKWARD_EXIT,2018,-0.07852729502979211,-0.07851933746461401,-7.957565178101644e-06
earlier_diagnostic,BASE,AGE_BACKWARD_EXIT,2019,0.06123830936776121,0.09547468442489916,-0.034236375057137954
earlier_diagnostic,BASE,AGE_NATURAL_TARGET,2015,0.32273049870000053,0.32273049870000053,0.0
earlier_diagnostic,BASE,AGE_NATURAL_TARGET,2016,0.026171735386779606,0.026171735386779606,0.0
earlier_diagnostic,BASE,AGE_NATURAL_TARGET,2017,0.08685355077126991,0.10178593051068936,-0.014932379739419452
earlier_diagnostic,BASE,AGE_NATURAL_TARGET,2018,-0.07852729502979211,-0.07851933746461401,-7.957565178101644e-06
earlier_diagnostic,BASE,AGE_NATURAL_TARGET,2019,0.06123830936776121,0.09547468442489916,-0.034236375057137954
earlier_diagnostic,STRESS,AGE_BACKWARD_EXIT,2015,0.31435863239999967,0.31435863239999967,0.0
earlier_diagnostic,STRESS,AGE_BACKWARD_EXIT,2016,0.02448037149590405,0.02448037149590405,0.0
earlier_diagnostic,STRESS,AGE_BACKWARD_EXIT,2017,0.08519427447026882,0.10011105574099499,-0.014916781270726168
earlier_diagnostic,STRESS,AGE_BACKWARD_EXIT,2018,-0.08004404908597344,-0.08004653969963171,2.490613658270857e-06
earlier_diagnostic,STRESS,AGE_BACKWARD_EXIT,2019,0.058107418341150414,0.09221658168038552,-0.0341091633392351
earlier_diagnostic,STRESS,AGE_NATURAL_TARGET,2015,0.31435863239999967,0.31435863239999967,0.0
earlier_diagnostic,STRESS,AGE_NATURAL_TARGET,2016,0.02448037149590405,0.02448037149590405,0.0
earlier_diagnostic,STRESS,AGE_NATURAL_TARGET,2017,0.08519427447026882,0.10011105574099499,-0.014916781270726168
earlier_diagnostic,STRESS,AGE_NATURAL_TARGET,2018,-0.08004404908597344,-0.08004653969963171,2.490613658270857e-06
earlier_diagnostic,STRESS,AGE_NATURAL_TARGET,2019,0.058107418341150414,0.09221658168038552,-0.0341091633392351
