fit_index,fit_origin,holding_age,cycles,status,failure
1157,2017-03-01,59,6,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,58,6,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,57,6,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,56,6,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,55,6,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,54,6,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,53,6,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,52,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,51,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,50,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,49,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,48,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,47,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,46,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,45,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,44,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,43,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,42,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,41,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,40,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,39,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,38,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,37,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,36,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,35,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,34,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,33,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,32,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,31,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,30,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,29,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,28,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,27,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,26,7,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,25,8,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,24,8,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,23,8,NO_VIEW_MINIMUM_AGE_CYCLES,
1157,2017-03-01,22,8,NO_VIEW_MINIMUM_AGE_CYCLES,
