fit_index,fit_origin,fit_time,status,training_cycle_count,training_rows,eligible_for_fit,latest_exit_index,missing_feature_rows
632,2014-12-31,2014-12-31 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,1,59,False,588,0
633,2015-01-05,2015-01-05 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,1,59,False,588,0
653,2015-02-02,2015-02-02 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,2,111,False,644,0
668,2015-03-02,2015-03-02 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,3,117,False,654,0
690,2015-04-01,2015-04-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,3,117,False,654,0
711,2015-05-04,2015-05-04 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,3,117,False,654,0
731,2015-06-01,2015-06-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,4,176,False,717,0
752,2015-07-01,2015-07-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,False,746,0
775,2015-08-03,2015-08-03 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,False,746,0
796,2015-09-01,2015-09-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,False,746,0
816,2015-10-08,2015-10-08 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,False,746,0
833,2015-11-02,2015-11-02 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,False,746,0
854,2015-12-01,2015-12-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,5,201,False,746,0
877,2016-01-04,2016-01-04 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,6,260,False,874,0
897,2016-02-01,2016-02-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,False,883,0
913,2016-03-01,2016-03-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,False,883,0
936,2016-04-01,2016-04-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,False,883,0
956,2016-05-03,2016-05-03 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,False,883,0
977,2016-06-01,2016-06-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,False,883,0
997,2016-07-01,2016-07-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,False,883,0
1018,2016-08-01,2016-08-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,8,320,False,1016,0
1041,2016-09-01,2016-09-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,8,320,False,1016,0
1061,2016-10-10,2016-10-10 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,8,320,False,1016,0
1077,2016-11-01,2016-11-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,8,320,False,1016,0
1099,2016-12-01,2016-12-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,9,379,False,1079,0
1121,2017-01-03,2017-01-03 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,9,379,False,1079,0
1139,2017-02-03,2017-02-03 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,9,379,False,1079,0
1157,2017-03-01,2017-03-01 15:05:00,MONTH_COMPLETE,10,438,True,1142,0
1180,2017-04-05,2017-04-05 15:05:00,MONTH_COMPLETE,10,438,True,1142,0
1198,2017-05-02,2017-05-02 15:05:00,MONTH_COMPLETE,10,438,True,1142,0
1218,2017-06-01,2017-06-01 15:05:00,MONTH_COMPLETE,11,497,True,1205,0
1240,2017-07-03,2017-07-03 15:05:00,MONTH_COMPLETE,11,497,True,1205,0
1261,2017-08-01,2017-08-01 15:05:00,MONTH_COMPLETE,11,497,True,1205,0
1284,2017-09-01,2017-09-01 15:05:00,MONTH_COMPLETE,12,556,True,1270,0
1305,2017-10-09,2017-10-09 15:05:00,MONTH_COMPLETE,12,556,True,1270,0
1322,2017-11-01,2017-11-01 15:05:00,MONTH_COMPLETE,12,556,True,1270,0
1344,2017-12-01,2017-12-01 15:05:00,MONTH_COMPLETE,13,615,True,1333,0
1365,2018-01-02,2018-01-02 15:05:00,MONTH_COMPLETE,13,615,True,1333,0
1387,2018-02-01,2018-02-01 15:05:00,MONTH_COMPLETE,13,615,True,1333,0
1402,2018-03-01,2018-03-01 15:05:00,MONTH_COMPLETE,14,671,True,1393,0
1424,2018-04-02,2018-04-02 15:05:00,MONTH_COMPLETE,14,671,True,1393,0
1442,2018-05-02,2018-05-02 15:05:00,MONTH_COMPLETE,14,671,True,1393,0
1464,2018-06-01,2018-06-01 15:05:00,MONTH_COMPLETE,14,671,True,1393,0
1484,2018-07-02,2018-07-02 15:05:00,MONTH_COMPLETE,14,671,True,1393,0
1506,2018-08-01,2018-08-01 15:05:00,MONTH_COMPLETE,14,671,True,1393,0
1529,2018-09-03,2018-09-03 15:05:00,MONTH_COMPLETE,14,671,True,1393,0
1548,2018-10-08,2018-10-08 15:05:00,MONTH_COMPLETE,14,671,True,1393,0
1566,2018-11-01,2018-11-01 15:05:00,MONTH_COMPLETE,15,678,True,1557,0
1588,2018-12-03,2018-12-03 15:05:00,MONTH_COMPLETE,15,678,True,1557,0
1608,2019-01-02,2019-01-02 15:05:00,MONTH_COMPLETE,15,678,True,1557,0
1630,2019-02-01,2019-02-01 15:05:00,MONTH_COMPLETE,15,678,True,1557,0
1645,2019-03-01,2019-03-01 15:05:00,MONTH_COMPLETE,15,678,True,1557,0
1666,2019-04-01,2019-04-01 15:05:00,MONTH_COMPLETE,15,678,True,1557,0
1687,2019-05-06,2019-05-06 15:05:00,MONTH_COMPLETE,15,678,True,1557,0
1707,2019-06-03,2019-06-03 15:05:00,MONTH_COMPLETE,16,721,True,1688,0
1726,2019-07-01,2019-07-01 15:05:00,MONTH_COMPLETE,16,721,True,1688,0
1749,2019-08-01,2019-08-01 15:05:00,MONTH_COMPLETE,17,759,True,1730,0
1771,2019-09-02,2019-09-02 15:05:00,MONTH_COMPLETE,17,759,True,1730,0
1791,2019-10-08,2019-10-08 15:05:00,MONTH_COMPLETE,17,759,True,1730,0
1809,2019-11-01,2019-11-01 15:05:00,MONTH_COMPLETE,17,759,True,1730,0
1830,2019-12-02,2019-12-02 15:05:00,MONTH_COMPLETE,17,759,True,1730,0
