fit_index,holding_age,cycles,maximum_gradient
1157,1,10,2.7755575615628914e-16
1180,1,10,2.7755575615628914e-16
1198,1,10,2.7755575615628914e-16
1218,6,10,1.1449174941446927e-16
1218,5,10,2.185751579730777e-16
1218,4,10,2.636779683484747e-16
1218,3,10,2.5673907444456745e-16
1218,2,10,2.7755575615628914e-16
1218,1,11,3.608224830031759e-16
1240,6,10,1.1449174941446927e-16
1240,5,10,2.185751579730777e-16
1240,4,10,2.636779683484747e-16
1240,3,10,2.5673907444456745e-16
1240,2,10,2.7755575615628914e-16
1240,1,11,3.608224830031759e-16
1261,6,10,1.1449174941446927e-16
1261,5,10,2.185751579730777e-16
1261,4,10,2.636779683484747e-16
1261,3,10,2.5673907444456745e-16
1261,2,10,2.7755575615628914e-16
1261,1,11,3.608224830031759e-16
1284,25,10,7.632783294297951e-17
1284,24,10,1.3997050046787862e-16
1284,23,10,1.3183898417423734e-16
1284,22,10,1.457167719820518e-16
1284,21,10,1.1102230246251565e-16
1284,20,10,3.2612801348363973e-16
1284,19,10,1.0408340855860843e-16
1284,18,10,1.457167719820518e-16
1284,17,10,1.0755285551056204e-16
1284,16,10,2.914335439641036e-16
1284,15,10,1.6653345369377348e-16
1284,14,10,2.914335439641036e-16
1284,13,10,2.0122792321330962e-16
1284,12,10,2.498001805406602e-16
1284,11,10,3.3306690738754696e-16
1284,10,10,2.7755575615628914e-16
1284,9,10,2.2898349882893854e-16
1284,8,10,2.3592239273284576e-16
1284,7,10,3.191891195797325e-16
1284,6,11,2.498001805406602e-16
1284,5,11,2.2898349882893854e-16
1284,4,11,2.5673907444456745e-16
1284,3,11,2.983724378680108e-16
1284,2,11,3.608224830031759e-16
1284,1,12,3.400058012914542e-16
1305,25,10,7.632783294297951e-17
1305,24,10,1.3997050046787862e-16
1305,23,10,1.3183898417423734e-16
1305,22,10,1.457167719820518e-16
1305,21,10,1.1102230246251565e-16
1305,20,10,3.2612801348363973e-16
1305,19,10,1.0408340855860843e-16
1305,18,10,1.457167719820518e-16
1305,17,10,1.0755285551056204e-16
1305,16,10,2.914335439641036e-16
1305,15,10,1.6653345369377348e-16
1305,14,10,2.914335439641036e-16
1305,13,10,2.0122792321330962e-16
1305,12,10,2.498001805406602e-16
1305,11,10,3.3306690738754696e-16
1305,10,10,2.7755575615628914e-16
1305,9,10,2.2898349882893854e-16
1305,8,10,2.3592239273284576e-16
1305,7,10,3.191891195797325e-16
1305,6,11,2.498001805406602e-16
1305,5,11,2.2898349882893854e-16
1305,4,11,2.5673907444456745e-16
1305,3,11,2.983724378680108e-16
1305,2,11,3.608224830031759e-16
1305,1,12,3.400058012914542e-16
1322,25,10,7.632783294297951e-17
1322,24,10,1.3997050046787862e-16
1322,23,10,1.3183898417423734e-16
1322,22,10,1.457167719820518e-16
1322,21,10,1.1102230246251565e-16
1322,20,10,3.2612801348363973e-16
1322,19,10,1.0408340855860843e-16
