period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,full_target_origins,mean_target
evaluation,RISK_DAILY_30_10,BASE,1604,436,1168,0,217,0.20090682251405428
evaluation,RISK_DAILY_30_12,BASE,1604,436,1168,0,252,0.20920787458325332
evaluation,RISK_DAILY_30_15,BASE,1604,436,1168,0,274,0.2176646682106492
evaluation,RISK_DAILY_120_10,BASE,1604,436,1168,0,158,0.1786206679548139
evaluation,RISK_DAILY_120_12,BASE,1604,436,1168,0,196,0.1900116393257608
evaluation,RISK_DAILY_120_15,BASE,1604,436,1168,0,217,0.20243242324804475
evaluation,RISK_EPISODE_30_10,BASE,1604,436,1168,0,137,0.15823686785024804
evaluation,RISK_EPISODE_30_12,BASE,1604,436,1168,0,158,0.16155258751488005
evaluation,RISK_EPISODE_30_15,BASE,1604,436,1168,0,164,0.1641750216955268
evaluation,RISK_EPISODE_60_12,BASE,1604,436,1168,0,174,0.17145330618589158
evaluation,RISK_EPISODE_60_15,BASE,1604,436,1168,0,189,0.17978915443933438
evaluation,RISK_EPISODE_120_10,BASE,1604,436,1168,0,166,0.17945481579669645
evaluation,RISK_EPISODE_120_12,BASE,1604,436,1168,0,189,0.1909345549705761
evaluation,RISK_EPISODE_120_15,BASE,1604,436,1168,0,221,0.20401756795276677
evaluation,RISK_DAILY_30_10,STRESS,1604,436,1168,0,219,0.20102217693730728
evaluation,RISK_DAILY_30_12,STRESS,1604,436,1168,0,252,0.20930718619841343
evaluation,RISK_DAILY_30_15,STRESS,1604,436,1168,0,274,0.2177237758654238
evaluation,RISK_DAILY_120_10,STRESS,1604,436,1168,0,158,0.17881290588946688
evaluation,RISK_DAILY_120_12,STRESS,1604,436,1168,0,197,0.19018119219522783
evaluation,RISK_DAILY_120_15,STRESS,1604,436,1168,0,219,0.20257432982200843
evaluation,RISK_EPISODE_30_10,STRESS,1604,436,1168,0,139,0.15848292053955837
evaluation,RISK_EPISODE_30_12,STRESS,1604,436,1168,0,158,0.16165921105978642
evaluation,RISK_EPISODE_30_15,STRESS,1604,436,1168,0,166,0.16433144711627817
evaluation,RISK_EPISODE_60_12,STRESS,1604,436,1168,0,174,0.1715611799917884
evaluation,RISK_EPISODE_60_15,STRESS,1604,436,1168,0,189,0.17994695110256226
evaluation,RISK_EPISODE_120_10,STRESS,1604,436,1168,0,166,0.17961838243346226
evaluation,RISK_EPISODE_120_12,STRESS,1604,436,1168,0,191,0.19109156322153606
evaluation,RISK_EPISODE_120_15,STRESS,1604,436,1168,0,222,0.20416564700868117
earlier_diagnostic,RISK_DAILY_30_10,BASE,1219,446,773,0,172,0.25018326806608115
earlier_diagnostic,RISK_DAILY_30_12,BASE,1219,446,773,0,201,0.26729792704054106
earlier_diagnostic,RISK_DAILY_30_15,BASE,1219,446,773,0,213,0.2890186251620794
earlier_diagnostic,RISK_DAILY_120_10,BASE,1219,446,773,0,205,0.2892704793552453
earlier_diagnostic,RISK_DAILY_120_12,BASE,1219,446,773,0,228,0.3027633056827686
earlier_diagnostic,RISK_DAILY_120_15,BASE,1219,446,773,0,279,0.3160434705080796
earlier_diagnostic,RISK_EPISODE_30_10,BASE,1219,446,773,0,89,0.2264014466789543
earlier_diagnostic,RISK_EPISODE_30_12,BASE,1219,446,773,0,89,0.22700141922624498
earlier_diagnostic,RISK_EPISODE_30_15,BASE,1219,446,773,0,89,0.22790137804718094
earlier_diagnostic,RISK_EPISODE_60_12,BASE,1219,446,773,0,186,0.2662983115525989
earlier_diagnostic,RISK_EPISODE_60_15,BASE,1219,446,773,0,192,0.2709086171605069
earlier_diagnostic,RISK_EPISODE_120_10,BASE,1219,446,773,0,252,0.29066015328184763
earlier_diagnostic,RISK_EPISODE_120_12,BASE,1219,446,773,0,256,0.2984267501753486
earlier_diagnostic,RISK_EPISODE_120_15,BASE,1219,446,773,0,278,0.3074988099364234
earlier_diagnostic,RISK_DAILY_30_10,STRESS,1219,452,767,0,172,0.25495435601471983
earlier_diagnostic,RISK_DAILY_30_12,STRESS,1219,452,767,0,207,0.2723089235679917
earlier_diagnostic,RISK_DAILY_30_15,STRESS,1219,452,767,0,221,0.2940618566201393
earlier_diagnostic,RISK_DAILY_120_10,STRESS,1219,452,767,0,211,0.2943707532577834
earlier_diagnostic,RISK_DAILY_120_12,STRESS,1219,452,767,0,234,0.30782024810090153
earlier_diagnostic,RISK_DAILY_120_15,STRESS,1219,452,767,0,285,0.3210539652455493
earlier_diagnostic,RISK_EPISODE_30_10,STRESS,1219,452,767,0,89,0.2305371121763662
earlier_diagnostic,RISK_EPISODE_30_12,STRESS,1219,452,767,0,89,0.23113752049400235
earlier_diagnostic,RISK_EPISODE_30_15,STRESS,1219,452,767,0,89,0.23203813297045656
earlier_diagnostic,RISK_EPISODE_60_12,STRESS,1219,452,767,0,183,0.2708182619511269
earlier_diagnostic,RISK_EPISODE_60_15,STRESS,1219,452,767,0,198,0.27578831395569015
earlier_diagnostic,RISK_EPISODE_120_10,STRESS,1219,452,767,0,258,0.2956937743771258
earlier_diagnostic,RISK_EPISODE_120_12,STRESS,1219,452,767,0,262,0.3034644641677296
earlier_diagnostic,RISK_EPISODE_120_15,STRESS,1219,452,767,0,285,0.3125004751139933
