period,cost,model,holding_closes,buy_trades,sell_trades,unknown_target_origins,unfilled_requests,mean_exposure
evaluation,BASE,RISK_DAILY_30_10,429,54,57,0,0,0.20076460747621572
evaluation,BASE,RISK_DAILY_30_12,429,55,55,0,0,0.20837213679656616
evaluation,BASE,RISK_DAILY_30_15,429,54,51,0,0,0.21652894208382878
evaluation,BASE,RISK_DAILY_120_10,429,50,51,0,0,0.17925498927516464
evaluation,BASE,RISK_DAILY_120_12,429,50,50,0,0,0.1912490401485252
evaluation,BASE,RISK_DAILY_120_15,420,52,50,0,0,0.20147076550296247
evaluation,BASE,RISK_EPISODE_30_10,429,46,48,0,0,0.1584312695248923
evaluation,BASE,RISK_EPISODE_30_12,429,45,47,0,0,0.16153047285528863
evaluation,BASE,RISK_EPISODE_30_15,429,44,45,0,0,0.16368882990930356
evaluation,BASE,RISK_EPISODE_60_12,429,44,45,0,0,0.17143402817893602
evaluation,BASE,RISK_EPISODE_60_15,430,46,47,0,0,0.18020460367145724
evaluation,BASE,RISK_EPISODE_120_10,429,48,51,0,0,0.17995929334303015
evaluation,BASE,RISK_EPISODE_120_12,429,48,51,0,0,0.19205958672964504
evaluation,BASE,RISK_EPISODE_120_15,421,50,48,0,0,0.20336902744403731
evaluation,STRESS,RISK_DAILY_30_10,429,54,57,0,0,0.2008161323063213
evaluation,STRESS,RISK_DAILY_30_12,429,55,55,0,0,0.2083149664246667
evaluation,STRESS,RISK_DAILY_30_15,429,54,51,0,0,0.21607378886827475
evaluation,STRESS,RISK_DAILY_120_10,429,50,51,0,0,0.17950566589387273
evaluation,STRESS,RISK_DAILY_120_12,429,50,50,0,0,0.19147128887521045
evaluation,STRESS,RISK_DAILY_120_15,420,52,50,0,0,0.20151534380894726
evaluation,STRESS,RISK_EPISODE_30_10,429,45,47,0,0,0.1588190303873395
evaluation,STRESS,RISK_EPISODE_30_12,429,45,47,0,0,0.16173045658223217
evaluation,STRESS,RISK_EPISODE_30_15,429,43,45,0,0,0.16430195670865616
evaluation,STRESS,RISK_EPISODE_60_12,429,44,45,0,0,0.17160460665780117
evaluation,STRESS,RISK_EPISODE_60_15,430,46,47,0,0,0.18038998433575468
evaluation,STRESS,RISK_EPISODE_120_10,429,48,51,0,0,0.1801943062009614
evaluation,STRESS,RISK_EPISODE_120_12,429,48,51,0,0,0.19225106552104312
evaluation,STRESS,RISK_EPISODE_120_15,421,50,48,0,0,0.20358174022012443
earlier_diagnostic,BASE,RISK_DAILY_30_10,445,38,35,0,0,0.24888753968274582
earlier_diagnostic,BASE,RISK_DAILY_30_12,445,38,31,0,0,0.26614248748737923
earlier_diagnostic,BASE,RISK_DAILY_30_15,445,38,31,0,0,0.2882605557208421
earlier_diagnostic,BASE,RISK_DAILY_120_10,445,31,28,0,0,0.28726807281052336
earlier_diagnostic,BASE,RISK_DAILY_120_12,445,31,27,0,0,0.3008617413061848
earlier_diagnostic,BASE,RISK_DAILY_120_15,445,28,24,0,0,0.3134039256073384
earlier_diagnostic,BASE,RISK_EPISODE_30_10,445,31,27,0,0,0.2237563550642703
earlier_diagnostic,BASE,RISK_EPISODE_30_12,445,31,27,0,0,0.2243111950854494
earlier_diagnostic,BASE,RISK_EPISODE_30_15,445,31,27,0,0,0.2251893733031175
earlier_diagnostic,BASE,RISK_EPISODE_60_12,445,26,26,0,0,0.2630256579709408
earlier_diagnostic,BASE,RISK_EPISODE_60_15,445,26,27,0,0,0.26757049331539784
earlier_diagnostic,BASE,RISK_EPISODE_120_10,445,24,22,0,0,0.29033165735148764
earlier_diagnostic,BASE,RISK_EPISODE_120_12,445,25,23,0,0,0.2973910930202412
earlier_diagnostic,BASE,RISK_EPISODE_120_15,445,24,21,0,0,0.30642439955516365
earlier_diagnostic,STRESS,RISK_DAILY_30_10,451,38,36,0,0,0.2534366420892628
earlier_diagnostic,STRESS,RISK_DAILY_30_12,451,38,31,0,0,0.2712644766711448
earlier_diagnostic,STRESS,RISK_DAILY_30_15,451,38,31,0,0,0.29341595497446465
earlier_diagnostic,STRESS,RISK_DAILY_120_10,451,31,28,0,0,0.2924554745314797
earlier_diagnostic,STRESS,RISK_DAILY_120_12,451,31,27,0,0,0.3059279737316049
earlier_diagnostic,STRESS,RISK_DAILY_120_15,451,29,24,0,0,0.3185063236889564
earlier_diagnostic,STRESS,RISK_EPISODE_30_10,451,31,27,0,0,0.22757545178907543
earlier_diagnostic,STRESS,RISK_EPISODE_30_12,451,31,27,0,0,0.2282183486265431
earlier_diagnostic,STRESS,RISK_EPISODE_30_15,451,31,27,0,0,0.22901566885769709
earlier_diagnostic,STRESS,RISK_EPISODE_60_12,451,26,26,0,0,0.2669107471373546
earlier_diagnostic,STRESS,RISK_EPISODE_60_15,451,26,27,0,0,0.27248416375791756
earlier_diagnostic,STRESS,RISK_EPISODE_120_10,451,24,22,0,0,0.2954613208370759
earlier_diagnostic,STRESS,RISK_EPISODE_120_12,451,25,23,0,0,0.3024036262440449
earlier_diagnostic,STRESS,RISK_EPISODE_120_15,451,24,21,0,0,0.31156810504321947
