model,period,cost,decisions,fills
RISK_DAILY_30_10,evaluation,BASE,1604,111
RISK_DAILY_30_10,evaluation,STRESS,1604,111
RISK_DAILY_30_10,earlier_diagnostic,BASE,1219,73
RISK_DAILY_30_10,earlier_diagnostic,STRESS,1219,74
RISK_DAILY_30_12,evaluation,BASE,1604,110
RISK_DAILY_30_12,evaluation,STRESS,1604,110
RISK_DAILY_30_12,earlier_diagnostic,BASE,1219,69
RISK_DAILY_30_12,earlier_diagnostic,STRESS,1219,69
RISK_DAILY_30_15,evaluation,BASE,1604,105
RISK_DAILY_30_15,evaluation,STRESS,1604,105
RISK_DAILY_30_15,earlier_diagnostic,BASE,1219,69
RISK_DAILY_30_15,earlier_diagnostic,STRESS,1219,69
RISK_DAILY_120_10,evaluation,BASE,1604,101
RISK_DAILY_120_10,evaluation,STRESS,1604,101
RISK_DAILY_120_10,earlier_diagnostic,BASE,1219,59
RISK_DAILY_120_10,earlier_diagnostic,STRESS,1219,59
RISK_DAILY_120_12,evaluation,BASE,1604,100
RISK_DAILY_120_12,evaluation,STRESS,1604,100
RISK_DAILY_120_12,earlier_diagnostic,BASE,1219,58
RISK_DAILY_120_12,earlier_diagnostic,STRESS,1219,58
RISK_DAILY_120_15,evaluation,BASE,1604,102
RISK_DAILY_120_15,evaluation,STRESS,1604,102
RISK_DAILY_120_15,earlier_diagnostic,BASE,1219,52
RISK_DAILY_120_15,earlier_diagnostic,STRESS,1219,53
RISK_EPISODE_30_10,evaluation,BASE,1604,94
RISK_EPISODE_30_10,evaluation,STRESS,1604,92
RISK_EPISODE_30_10,earlier_diagnostic,BASE,1219,58
RISK_EPISODE_30_10,earlier_diagnostic,STRESS,1219,58
RISK_EPISODE_30_12,evaluation,BASE,1604,92
RISK_EPISODE_30_12,evaluation,STRESS,1604,92
RISK_EPISODE_30_12,earlier_diagnostic,BASE,1219,58
RISK_EPISODE_30_12,earlier_diagnostic,STRESS,1219,58
RISK_EPISODE_30_15,evaluation,BASE,1604,89
RISK_EPISODE_30_15,evaluation,STRESS,1604,88
RISK_EPISODE_30_15,earlier_diagnostic,BASE,1219,58
RISK_EPISODE_30_15,earlier_diagnostic,STRESS,1219,58
RISK_EPISODE_60_12,evaluation,BASE,1604,89
RISK_EPISODE_60_12,evaluation,STRESS,1604,89
RISK_EPISODE_60_12,earlier_diagnostic,BASE,1219,52
RISK_EPISODE_60_12,earlier_diagnostic,STRESS,1219,52
RISK_EPISODE_60_15,evaluation,BASE,1604,93
RISK_EPISODE_60_15,evaluation,STRESS,1604,93
RISK_EPISODE_60_15,earlier_diagnostic,BASE,1219,53
RISK_EPISODE_60_15,earlier_diagnostic,STRESS,1219,53
RISK_EPISODE_120_10,evaluation,BASE,1604,99
RISK_EPISODE_120_10,evaluation,STRESS,1604,99
RISK_EPISODE_120_10,earlier_diagnostic,BASE,1219,46
RISK_EPISODE_120_10,earlier_diagnostic,STRESS,1219,46
RISK_EPISODE_120_12,evaluation,BASE,1604,99
RISK_EPISODE_120_12,evaluation,STRESS,1604,99
RISK_EPISODE_120_12,earlier_diagnostic,BASE,1219,48
RISK_EPISODE_120_12,earlier_diagnostic,STRESS,1219,48
RISK_EPISODE_120_15,evaluation,BASE,1604,98
RISK_EPISODE_120_15,evaluation,STRESS,1604,98
RISK_EPISODE_120_15,earlier_diagnostic,BASE,1219,45
RISK_EPISODE_120_15,earlier_diagnostic,STRESS,1219,45
