model,reused_old_setting,name,main_BASE_net_sharpe,main_BASE_annualized_return,main_BASE_max_drawdown,main_STRESS_net_sharpe,main_STRESS_annualized_return,main_STRESS_max_drawdown,earlier_BASE_net_sharpe,earlier_BASE_annualized_return,earlier_BASE_max_drawdown,earlier_STRESS_net_sharpe,earlier_STRESS_annualized_return,earlier_STRESS_max_drawdown,minimum_joint_ratio
ACCOUNT_VOLATILITY_EXPOSURE,True,原181每日六十日10%预算,1.3064367783786806,0.09663435961892355,-0.06718111998958115,1.2226827789393921,0.08993718794688503,-0.07154080545080116,1.068767157552337,0.098848738911893,-0.09681845314544668,1.0557279223494713,0.09836233370222244,-0.10137079705815237,0.8797732686245595
ACCOUNT_RISK_12,True,12%账户风险预算,1.2496430689105669,0.09666041263730439,-0.06817348377081453,1.1678212778687938,0.0898282569101243,-0.07396370051750711,1.0432064064869657,0.10272206994719088,-0.09791398862258907,1.0368326800304501,0.102745627405651,-0.10277318130433602,0.8640272333587085
ACCOUNT_RISK_15,True,15%账户风险预算,1.1985628652827198,0.09480404816301502,-0.06969760714330911,1.1186978478316223,0.08816656378624899,-0.07591965964601742,1.020733901815727,0.10488554726734793,-0.09876368800954806,1.0150035508273583,0.10507186145706894,-0.10387666619849116,0.8458362923561319
RISK_DAILY_120_12,False,120日风险、12%预算、每日调整,1.2807652655187085,0.09009891062624506,-0.06125400813107409,1.1974629975842765,0.0837306099063447,-0.06415296186369847,0.996196409969919,0.09750069020954771,-0.09762995766935126,0.9906222000965516,0.09775800796219208,-0.10302776868167508,0.8255185000804597
RISK_DAILY_120_15,False,120日风险、15%预算、每日调整,1.2100220016053913,0.09050918412492193,-0.06373328381925669,1.1290989405346505,0.08391756616098359,-0.06602985219759247,1.001653685935096,0.10270585494874904,-0.09945253608584252,0.9868050835357048,0.10195256280826619,-0.10246979528118116,0.8223375696130873
RISK_EPISODE_30_10,False,30日风险、10%预算、区间固定,1.3346195604671014,0.08752464491067108,-0.07157595370295791,1.2621688577541044,0.08237226379502745,-0.07736936713898136,1.0853120031834786,0.08212262494769765,-0.06298643764915579,1.0755602039040597,0.08191586626397629,-0.06301593869368727,0.8191586626397629
RISK_DAILY_120_10,False,120日风险、10%预算、每日调整,1.3094385860153532,0.0872541809437135,-0.058217259634256745,1.2257259602511545,0.08121145238973054,-0.061262853134290966,1.019583475611783,0.09489746959239774,-0.09504771860286865,1.0136456797876803,0.09523223010684892,-0.1002120070527406,0.8121145238973054
RISK_EPISODE_30_12,False,30日风险、12%预算、区间固定,1.3101068270771394,0.08696048413453895,-0.07212138518870848,1.2386920696690564,0.08181032996502569,-0.07824871023917597,1.0658426753782648,0.0808865162416987,-0.06298643764915579,1.054654704503186,0.08057440796321284,-0.06301593869368727,0.8057440796321284
EPISODE_ACCOUNT_RISK_BUDGET,True,原182区间六十日10%预算,1.2547527575065607,0.08558357272619202,-0.06644922071800724,1.1855872434489416,0.08048046550853727,-0.07138164318835696,1.1599596262706424,0.09480123222820798,-0.06298643764915579,1.1511791382241956,0.09481236959271369,-0.06452135201337061,0.8048046550853727
RISK_DAILY_30_12,False,30日风险、12%预算、每日调整,1.2427412723380862,0.0953646829900309,-0.06722315656683472,1.1624702487351648,0.08862814077346068,-0.07308152839685388,0.9724522721682457,0.08745374739756417,-0.08909324254286173,0.9607997061049137,0.0871664243099972,-0.09160002216919103,0.8006664217540947
RISK_EPISODE_30_15,False,30日风险、15%预算、区间固定,1.3077848422653657,0.08766090383831693,-0.06847162039558582,1.2359171619462237,0.08248109426166939,-0.07450238789664607,1.0337587455664894,0.07890302318661671,-0.06298643764915579,1.0236697752606607,0.07862964034209184,-0.06301593869368727,0.7862964034209183
RISK_EPISODE_60_12,False,60日风险、12%预算、区间固定,1.193549403023185,0.08327672798275747,-0.06905746687914632,1.1221169827411495,0.07790776638440809,-0.07434289434972484,1.1537045797733132,0.09504131643582991,-0.06298643764915579,1.1511017447345808,0.09572452690567314,-0.06301593869368727,0.7790776638440808
RISK_EPISODE_120_15,False,120日风险、15%预算、区间固定,1.163608000159041,0.08401716288711161,-0.06336063053234535,1.082885648400404,0.07775711721641482,-0.06574152483860293,1.150159111157954,0.10964470314272613,-0.06488777034790379,1.146814453932048,0.11034577796446755,-0.06644516889070677,0.7775711721641482
RISK_DAILY_30_10,False,30日风险、10%预算、每日调整,1.2667676236312833,0.09363816923615309,-0.06716879599134913,1.1803841460117361,0.08667955657137925,-0.07069480641025068,0.9459619520052649,0.08033185797076957,-0.08698968393029896,0.9304411040904426,0.07957331624541154,-0.08943883748018407,0.7753675867420355
RISK_EPISODE_120_12,False,120日风险、12%预算、区间固定,1.2301631884753244,0.0829459638161897,-0.06147806107400043,1.1474669161230853,0.07697568597182951,-0.06421429555790963,1.1656265312671599,0.10708017682206425,-0.06298643764915579,1.1623272080083464,0.10777611007560847,-0.06301593869368727,0.769756859718295
RISK_DAILY_30_15,False,30日风险、15%预算、每日调整,1.2211484304088416,0.09791817277030884,-0.06956227269994146,1.13893452023496,0.090602312527744,-0.07304007748117036,0.9310295445404723,0.09136152436262694,-0.0931453438635206,0.9222860215019816,0.09118510126530659,-0.09567263857113467,0.7685716845849847
RISK_EPISODE_60_15,False,60日风险、15%预算、区间固定,1.1421607753967633,0.08171907850285588,-0.07160875918616479,1.0673971375089017,0.07597043177604762,-0.07745391252782606,1.1364034122831366,0.09453608259600828,-0.06298643764915579,1.1332149218207423,0.09530671305522512,-0.06301593869368727,0.7597043177604762
RISK_EPISODE_120_10,False,120日风险、10%预算、区间固定,1.2764341979111187,0.08103229167636314,-0.05858988677328062,1.1929960156162376,0.07539683550276106,-0.06147116532015663,1.1791316976653068,0.10573996506365617,-0.06298643764915579,1.1763365521006726,0.10657780552857583,-0.06301593869368727,0.7539683550276106
