period,model,cost,decision_origins,positive_source_origins,zero_source_origins,unknown_source_origins,source_mix,exposure_multiplier
evaluation,ABLATE_100_NO_EPISODE,BASE,1604,615,989,0,NO_EPISODE,1.0
evaluation,ABLATE_100_NO_REBOUND,BASE,1604,457,1147,0,NO_REBOUND,1.0
evaluation,ABLATE_100_CORE_ONLY,BASE,1604,457,1147,0,CORE_ONLY,1.0
evaluation,ABLATE_105_NO_EPISODE,BASE,1604,615,989,0,NO_EPISODE,1.05
evaluation,ABLATE_105_NO_REBOUND,BASE,1604,457,1147,0,NO_REBOUND,1.05
evaluation,ABLATE_105_CORE_ONLY,BASE,1604,457,1147,0,CORE_ONLY,1.05
evaluation,ABLATE_100_NO_EPISODE,STRESS,1604,615,989,0,NO_EPISODE,1.0
evaluation,ABLATE_100_NO_REBOUND,STRESS,1604,457,1147,0,NO_REBOUND,1.0
evaluation,ABLATE_100_CORE_ONLY,STRESS,1604,457,1147,0,CORE_ONLY,1.0
evaluation,ABLATE_105_NO_EPISODE,STRESS,1604,615,989,0,NO_EPISODE,1.05
evaluation,ABLATE_105_NO_REBOUND,STRESS,1604,457,1147,0,NO_REBOUND,1.05
evaluation,ABLATE_105_CORE_ONLY,STRESS,1604,457,1147,0,CORE_ONLY,1.05
earlier_diagnostic,ABLATE_100_NO_EPISODE,BASE,1219,524,695,0,NO_EPISODE,1.0
earlier_diagnostic,ABLATE_100_NO_REBOUND,BASE,1219,461,758,0,NO_REBOUND,1.0
earlier_diagnostic,ABLATE_100_CORE_ONLY,BASE,1219,461,758,0,CORE_ONLY,1.0
earlier_diagnostic,ABLATE_105_NO_EPISODE,BASE,1219,524,695,0,NO_EPISODE,1.05
earlier_diagnostic,ABLATE_105_NO_REBOUND,BASE,1219,461,758,0,NO_REBOUND,1.05
earlier_diagnostic,ABLATE_105_CORE_ONLY,BASE,1219,461,758,0,CORE_ONLY,1.05
earlier_diagnostic,ABLATE_100_NO_EPISODE,STRESS,1219,530,689,0,NO_EPISODE,1.0
earlier_diagnostic,ABLATE_100_NO_REBOUND,STRESS,1219,467,752,0,NO_REBOUND,1.0
earlier_diagnostic,ABLATE_100_CORE_ONLY,STRESS,1219,467,752,0,CORE_ONLY,1.0
earlier_diagnostic,ABLATE_105_NO_EPISODE,STRESS,1219,530,689,0,NO_EPISODE,1.05
earlier_diagnostic,ABLATE_105_NO_REBOUND,STRESS,1219,467,752,0,NO_REBOUND,1.05
earlier_diagnostic,ABLATE_105_CORE_ONLY,STRESS,1219,467,752,0,CORE_ONLY,1.05
