model,period,cost,origin,source_target,normal_requested_quantity,own_shares,observed_daily_return,return_threshold
ABLATE_100_NO_EPISODE,evaluation,BASE,2020-09-28,0.6645929304203823,16800,15900,0.002155636990730736,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2020-09-29,0.626942174808207,14900,15900,0.0023661002366099915,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2021-06-08,0.9991603948881057,46300,2800,-0.00794100964265454,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2021-06-09,0.9973856050681102,46100,2800,0.0015246807699638154,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2021-06-10,0.9974023678052812,45800,2800,0.006470028544243611,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2021-06-11,0.5810622068291482,25800,2800,-0.009264511249763574,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2021-06-30,0.3010290809624199,13900,700,0.005933014354067012,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2021-11-10,0.6035666655137811,20500,11800,-0.0050844010575553655,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2021-11-24,0.9984441416439237,21600,31100,0.002206177296430134,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2021-11-25,0.9988480862032538,21700,31100,-0.0038022813688213253,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2021-11-26,0.9988382960546729,21900,31100,-0.008437123342707853,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2021-11-29,0.9988366481612013,21900,31100,-0.0014181523500810256,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2021-11-30,0.9988323891748647,22000,31100,-0.0036518563603166188,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2021-12-01,0.9988354682292141,21900,31100,0.0026471187130931995,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2021-12-02,0.998837825704537,21900,31100,0.002030869212022779,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2021-12-03,0.9988483172912435,21700,31100,0.00912038913660318,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2021-12-06,0.998847160923182,21700,31100,-0.0010042177144005127,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2021-12-07,0.9988536068423316,21600,31100,0.005629272215520675,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2022-05-13,0.9991070854181061,52500,14800,0.007846114907618329,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2022-05-16,0.9987049148475311,52900,14800,-0.007785032646911105,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2022-06-07,0.9990452350826965,59100,6300,0.001436781609195359,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2022-08-09,0.9999013976088753,62900,1900,0.0016650808753568835,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2022-08-10,0.9987002615206995,63500,1900,-0.010686297791498434,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2024-02-19,0.9997873264267447,53500,25300,0.00803093396787613,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2024-02-20,0.9991256895882588,53200,25300,0.0035408675125405686,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2024-06-17,0.653474081269453,48800,2200,-0.002813731007315634,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2024-06-18,0.6347162250540113,47200,2200,0.003103837471783333,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2024-06-19,0.6340656069512757,47300,2200,-0.002812939521800395,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2024-06-20,0.6325541749195809,47500,2200,-0.006488011283497963,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2024-06-21,0.6321578325837138,47500,2200,-0.0017035775127767216,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2024-06-24,0.6242711372770341,47100,2200,-0.004835039817974951,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2024-06-25,0.4825646907953698,36200,2200,-0.0060017147756501465,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2024-06-26,0.48427378785586694,36100,2200,0.006037952846463357,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2024-06-27,0.48291497471016603,36200,2200,-0.005430122892254974,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2024-06-28,0.48341642288662634,36100,2200,0.0020114942528735025,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2024-07-01,0.4783440973260277,35600,2200,0.0040149125322626045,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2024-07-02,0.47799495973056355,35600,2200,-0.00142816338189089,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2024-07-03,0.47756658700226245,35600,2200,-0.0017162471395880674,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2024-07-04,0.4764925711364284,35700,2200,-0.004297994269340966,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2024-07-05,0.4752699992241787,35800,2200,-0.004892086330935186,0.01
ABLATE_100_NO_EPISODE,evaluation,BASE,2024-07-08,0.4735342562012477,35900,2200,-0.006940427993059606,0.01
