period,cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target,joint_point_pass
evaluation,BASE,ABLATE_100_NO_EPISODE,目标1.00倍、去掉区间固定预算,0.9352691814000005,0.10474356397192786,0.10296553120079725,0.08271897122624532,1.2447631985070924,-0.06944760572536346,1604,0.1796001471960612,113,3137.3637200000003,9507.499999999844,False,9.512746146356221e-11,0.06848609232631088,True,True
evaluation,STRESS,ABLATE_100_NO_EPISODE,目标1.00倍、去掉区间固定预算,0.8555417612000071,0.09775376689905191,0.09654103935298632,0.08175057959134956,1.180921772488593,-0.07148904006380079,1604,0.1799342327557627,113,5955.74776,16454.500000000055,False,1.000444171950221e-10,0.06166882238530926,False,False
earlier_diagnostic,BASE,ABLATE_100_NO_EPISODE,目标1.00倍、去掉区间固定预算,0.6920470335999993,0.11005681584398049,0.10806280179588187,0.08534167612333327,1.266237162247818,-0.05554378545922923,1219,0.2777432118947637,61,1751.69328,5044.700000000092,False,9.458744898438454e-11,0.07109558764733656,True,True
earlier_diagnostic,STRESS,ABLATE_100_NO_EPISODE,目标1.00倍、去掉区间固定预算,0.7001733916000028,0.11111316171524037,0.10907766972466136,0.08608854409132229,1.2670404741535914,-0.05689480699286196,1219,0.28169305002829814,62,3421.9216800000004,9581.699999999979,False,9.185896487906575e-11,0.0724128896295537,True,True
evaluation,BASE,ABLATE_100_NO_REBOUND,目标1.00倍、去掉反弹辅助,0.9453988957000035,0.10561405682490323,0.10416336013317312,0.08793128748973753,1.1845995106728084,-0.07676722244879516,1604,0.18289904390122189,75,2862.12086,8994.999999999833,False,7.491962605854496e-11,0.06935658517928625,False,False
evaluation,STRESS,ABLATE_100_NO_REBOUND,目标1.00倍、去掉反弹辅助,0.8846177246,0.10033191678060648,0.09936741520084866,0.08786254008213287,1.1309417541077365,-0.08174506817468509,1604,0.18327260591810168,75,5610.25508,15659.600000000022,False,6.912159733474255e-11,0.06424697226686382,False,False
earlier_diagnostic,BASE,ABLATE_100_NO_REBOUND,目标1.00倍、去掉反弹辅助,0.6718900025999994,0.10741894067870598,0.1054462909419759,0.08244915706895681,1.2789250332030115,-0.05457382327853226,1219,0.26839163692921836,44,1585.1994800000002,4707.100000000095,False,7.275957614183426e-11,0.06845771248206206,True,True
earlier_diagnostic,STRESS,ABLATE_100_NO_REBOUND,目标1.00倍、去掉反弹辅助,0.6701300456000039,0.10718741389063434,0.10528339335045894,0.08301394787460704,1.2682614915446497,-0.05566893405866556,1219,0.2714122025491746,45,3175.59088,8974.59999999998,False,7.366907084360719e-11,0.06848714180494767,True,True
evaluation,BASE,ABLATE_100_CORE_ONLY,目标1.00倍、只保留两次零确认核心,0.9695077308000042,0.10767046078445344,0.10615126534913831,0.0894293272497362,1.1869849479321832,-0.07629570561743242,1604,0.18577613265875415,77,3031.35384,9537.99999999984,False,7.565859050373547e-11,0.07141298913883647,False,False
evaluation,STRESS,ABLATE_100_CORE_ONLY,目标1.00倍、只保留两次零确认核心,0.8261504538000035,0.0951125528346455,0.09422622349869268,0.08290139126126889,1.1366060576924806,-0.08114827465351808,1604,0.18593687436906475,78,5835.009240000001,16299.100000000046,False,9.475797924096696e-11,0.05902760832090285,False,False
earlier_diagnostic,BASE,ABLATE_100_CORE_ONLY,目标1.00倍、只保留两次零确认核心,0.712762264599998,0.11274162784376153,0.11045752567842324,0.08508342141251526,1.2982261860731377,-0.05418939835773252,1219,0.2758511567746693,45,1688.84708,5017.600000000102,False,6.700773269585625e-11,0.0737803996471176,True,True
earlier_diagnostic,STRESS,ABLATE_100_CORE_ONLY,目标1.00倍、只保留两次零确认核心,0.7216301149999989,0.11388300202002254,0.11154306732156094,0.08579295710777363,1.3001424718516215,-0.05546502009530205,1219,0.2797021392165866,46,3376.977,9530.099999999977,False,7.685230229981244e-11,0.07518272993433586,True,True
evaluation,BASE,ABLATE_105_NO_EPISODE,目标1.05倍、去掉区间固定预算,0.9359609770999999,0.10480313609216664,0.10314258117815446,0.08425098882135053,1.224229918498197,-0.06950148358188228,1604,0.18491857404608264,111,3147.7045800000005,9554.999999999829,False,6.639311322942376e-11,0.06854566444654966,True,True
evaluation,STRESS,ABLATE_105_NO_EPISODE,目标1.05倍、去掉区间固定预算,0.8713040222000044,0.09915562084924842,0.09800720665395107,0.08413493218865274,1.1648812699366422,-0.07174063677034401,1604,0.18534447930056858,111,5996.39556,16614.600000000042,False,8.822098607197404e-11,0.06307067633550578,False,False
earlier_diagnostic,BASE,ABLATE_105_NO_EPISODE,目标1.05倍、去掉区间固定预算,0.7125016510000004,0.11270801289385729,0.11068563906937087,0.08807050155152957,1.2567844751583401,-0.058262231534339584,1219,0.2854616252760656,61,1798.0698,5190.600000000097,False,8.003553375601768e-11,0.07374678469721337,True,True
earlier_diagnostic,STRESS,ABLATE_105_NO_EPISODE,目标1.05倍、去掉区间固定预算,0.7274233412000004,0.11462610161721834,0.1124378710784887,0.08841134100567723,1.2717584622007785,-0.05972441183716781,1219,0.2867541538528124,61,3460.83176,9721.499999999978,False,9.765699360286817e-11,0.07592582953153167,True,True
evaluation,BASE,ABLATE_105_NO_REBOUND,目标1.05倍、去掉反弹辅助,0.9720646038000009,0.10788729798617713,0.1063505724561352,0.08945416515643155,1.188883404927611,-0.07739620687648915,1604,0.1885052533743188,75,2987.47924,9393.999999999829,False,9.492850949754938e-11,0.07162982634056016,False,False
evaluation,STRESS,ABLATE_105_NO_REBOUND,目标1.05倍、去掉反弹辅助,0.9085991385999994,0.10243304197209908,0.10140956227005028,0.08940055347415787,1.1343281258249003,-0.08249729783989504,1604,0.1889683001268525,75,5854.472280000001,16343.400000000023,False,9.322320693172514e-11,0.06634809745835643,False,False
earlier_diagnostic,BASE,ABLATE_105_NO_REBOUND,目标1.05倍、去掉反弹辅助,0.688629270799999,0.10961132561799754,0.10765654229480948,0.08521907986103702,1.2632915360076666,-0.057191115002088434,1219,0.27327698464248223,45,1644.4458400000003,4882.60000000009,False,8.049028110690415e-11,0.07065009742135361,True,True
earlier_diagnostic,STRESS,ABLATE_105_NO_REBOUND,目标1.05倍、去掉反弹辅助,0.7021525822000019,0.11136982387905464,0.1092658202167576,0.08552172127289526,1.27763822559296,-0.05834709175571914,1219,0.27454814315219506,45,3239.08356,9156.099999999984,False,9.231371222995222e-11,0.07266955179336797,True,True
evaluation,BASE,ABLATE_105_CORE_ONLY,目标1.05倍、只保留两次零确认核心,0.9584608058000008,0.1067308632715293,0.10537227081813462,0.09020763605728001,1.1681081050746678,-0.07693997242536725,1604,0.19149582066406898,74,3036.53884,9561.699999999808,False,9.492850949754938e-11,0.07047339162591232,False,False
