model,period,cost,net_sharpe,cycles,holding_closes,gross_price_dividend_profit,commission_and_slippage,net_profit
ABLATE_100_NO_EPISODE,evaluation,BASE,1.2447631985070924,43,614,199698.7,12644.863719999845,187053.83628000016
ABLATE_100_NO_EPISODE,evaluation,STRESS,1.180921772488593,43,614,193518.60000000003,22410.247760000057,171108.35223999992
ABLATE_100_NO_EPISODE,earlier_diagnostic,BASE,1.266237162247818,24,523,145205.80000000002,6796.393280000091,138409.40671999997
ABLATE_100_NO_EPISODE,earlier_diagnostic,STRESS,1.2670404741535914,24,529,153038.30000000002,13003.621679999978,140034.67832000012
ABLATE_100_NO_REBOUND,evaluation,BASE,1.1845995106728084,28,456,200936.90000000002,11857.120859999832,189079.77914000006
ABLATE_100_NO_REBOUND,evaluation,STRESS,1.1309417541077365,28,456,198193.40000000002,21269.855080000023,176923.54492000007
ABLATE_100_NO_REBOUND,earlier_diagnostic,BASE,1.2789250332030115,16,460,140670.30000000002,6292.299480000095,134378.00052
ABLATE_100_NO_REBOUND,earlier_diagnostic,STRESS,1.2682614915446497,16,466,146176.2,12150.19087999998,134026.00912000012
ABLATE_100_CORE_ONLY,evaluation,BASE,1.1869849479321832,28,456,206470.90000000005,12569.35383999984,193901.54616000014
ABLATE_100_CORE_ONLY,evaluation,STRESS,1.1366060576924806,28,456,187364.2,22134.10924000005,165230.09076
ABLATE_100_CORE_ONLY,earlier_diagnostic,BASE,1.2982261860731377,16,460,149258.9,6706.447080000102,142552.45292
ABLATE_100_CORE_ONLY,earlier_diagnostic,STRESS,1.3001424718516215,16,466,157233.10000000003,12907.076999999976,144326.02300000028
ABLATE_105_NO_EPISODE,evaluation,BASE,1.224229918498197,43,614,199894.90000000002,12702.70457999983,187192.19542000035
ABLATE_105_NO_EPISODE,evaluation,STRESS,1.1648812699366422,43,614,196871.80000000002,22610.995560000043,174260.80443999998
ABLATE_105_NO_EPISODE,earlier_diagnostic,BASE,1.2567844751583401,24,523,149489.0,6988.669800000097,142500.33019999985
ABLATE_105_NO_EPISODE,earlier_diagnostic,STRESS,1.2717584622007785,24,529,158667.00000000003,13182.33175999998,145484.6682400001
ABLATE_105_NO_REBOUND,evaluation,BASE,1.188883404927611,28,456,206794.4,12381.47923999983,194412.92076000036
ABLATE_105_NO_REBOUND,evaluation,STRESS,1.1343281258249003,28,456,203917.7,22197.872280000025,181719.82772000012
ABLATE_105_NO_REBOUND,earlier_diagnostic,BASE,1.2632915360076666,16,460,144252.9,6527.045840000091,137725.8541599997
ABLATE_105_NO_REBOUND,earlier_diagnostic,STRESS,1.27763822559296,16,466,152825.7,12395.183559999983,140430.5164400002
ABLATE_105_CORE_ONLY,evaluation,BASE,1.1681081050746678,28,456,204290.4,12598.238839999809,191692.1611600003
ABLATE_105_CORE_ONLY,evaluation,STRESS,1.1134522071139297,28,456,201531.39999999997,22569.918680000035,178961.48131999985
ABLATE_105_CORE_ONLY,earlier_diagnostic,BASE,1.2894611054948641,16,460,153771.1,6900.425740000106,146870.67426
ABLATE_105_CORE_ONLY,earlier_diagnostic,STRESS,1.3052677084467788,16,466,163096.9,13079.051959999979,150017.84803999995
