拟合收盘,成熟周期,原状态行,原残差加权中位数,原残差加权中位绝对偏差,原残差稳健尺度,拟采用胡伯边界,原残差超过该边界行数,原残差超过该边界的基础权重比例
2017-03-01,10,438,-2.7755575615628914e-17,0.005945960069394941,0.008815493590030662,0.01185683887859124,127,0.22554498044328555
2017-04-05,10,438,-2.7755575615628914e-17,0.005945960069394941,0.008815493590030662,0.01185683887859124,127,0.22554498044328555
2017-05-02,10,438,-2.7755575615628914e-17,0.005945960069394941,0.008815493590030662,0.01185683887859124,127,0.22554498044328555
2017-06-01,11,497,-2.7755575615628914e-17,0.0053087124289034875,0.007870708824500573,0.01058610336895327,146,0.2364122318359607
2017-07-03,11,497,-2.7755575615628914e-17,0.0053087124289034875,0.007870708824500573,0.01058610336895327,146,0.2364122318359607
2017-08-01,11,497,-2.7755575615628914e-17,0.0053087124289034875,0.007870708824500573,0.01058610336895327,146,0.2364122318359607
2017-09-01,12,556,0.0,0.005238616728708234,0.007766784783883387,0.010446325534323155,147,0.2183137766188614
2017-10-09,12,556,0.0,0.005238616728708234,0.007766784783883387,0.010446325534323155,147,0.2183137766188614
2017-11-01,12,556,0.0,0.005238616728708234,0.007766784783883387,0.010446325534323155,147,0.2183137766188614
2017-12-01,13,615,2.7755575615628914e-17,0.0047053947930297685,0.006976228759090642,0.009383027680976914,163,0.24541436833483773
2018-01-02,13,615,2.7755575615628914e-17,0.0047053947930297685,0.006976228759090642,0.009383027680976914,163,0.24541436833483773
2018-02-01,13,615,2.7755575615628914e-17,0.0047053947930297685,0.006976228759090642,0.009383027680976914,163,0.24541436833483773
2018-03-01,14,671,2.7755575615628914e-17,0.004308912022920403,0.006388402524527251,0.008592401395489153,181,0.2500989365759342
2018-04-02,14,671,2.7755575615628914e-17,0.004308912022920403,0.006388402524527251,0.008592401395489153,181,0.2500989365759342
2018-05-02,14,671,2.7755575615628914e-17,0.004308912022920403,0.006388402524527251,0.008592401395489153,181,0.2500989365759342
2018-06-01,14,671,2.7755575615628914e-17,0.004308912022920403,0.006388402524527251,0.008592401395489153,181,0.2500989365759342
2018-07-02,14,671,2.7755575615628914e-17,0.004308912022920403,0.006388402524527251,0.008592401395489153,181,0.2500989365759342
2018-08-01,14,671,2.7755575615628914e-17,0.004308912022920403,0.006388402524527251,0.008592401395489153,181,0.2500989365759342
2018-09-03,14,671,2.7755575615628914e-17,0.004308912022920403,0.006388402524527251,0.008592401395489153,181,0.2500989365759342
2018-10-08,14,671,2.7755575615628914e-17,0.004308912022920403,0.006388402524527251,0.008592401395489153,181,0.2500989365759342
2018-11-01,15,678,0.0,0.004268827809986997,0.006328973581505132,0.008512469467124403,180,0.2574167960100164
2018-12-03,15,678,0.0,0.004268827809986997,0.006328973581505132,0.008512469467124403,180,0.2574167960100164
2019-01-02,15,678,0.0,0.004268827809986997,0.006328973581505132,0.008512469467124403,180,0.2574167960100164
2019-02-01,15,678,0.0,0.004268827809986997,0.006328973581505132,0.008512469467124403,180,0.2574167960100164
