period,first_budget_update,initial_phase_days_including_first_update_close,initial_phase_net_profit,initial_phase_max_drawdown,whole_max_drawdown_date,whole_max_drawdown
evaluation,2021-01-04,244,22249.137000000046,-0.029720377726328406,2021-07-30,-0.03584729547309051
earlier_diagnostic,2016-01-04,245,30081.001040000032,-0.11074951407131417,2015-06-26,-0.11074951407131417
