period,cost,model,holding_closes,completed_round_trips,unknown_origins,locked_exit_origins,unfilled_requests
evaluation,BASE,JOINT_STATE_POLICY,996,35,0,0,0
evaluation,BASE,JOINT_STATE_MYOPIC,1283,6,0,0,0
evaluation,STRESS,JOINT_STATE_POLICY,996,35,0,0,0
evaluation,STRESS,JOINT_STATE_MYOPIC,1283,6,0,0,0
earlier_diagnostic,BASE,JOINT_STATE_POLICY,744,32,0,0,0
earlier_diagnostic,BASE,JOINT_STATE_MYOPIC,1002,13,0,0,0
earlier_diagnostic,STRESS,JOINT_STATE_POLICY,744,32,0,0,0
earlier_diagnostic,STRESS,JOINT_STATE_MYOPIC,1002,13,0,0,0
